cluster_id,canonical_skill
762,computerized automotive applications
2016,computerized financial information access
572,conceptual design
1878,concession operations
2212,concrete finishing
2297,concrete form preparation
2219,concrete repair
2214,concrete spreading
2303,concrete structure integrity
2355,concrete work
1869,conditioning animals
1298,conducting techniques
2330,conduit installation
1135,confidentiality
1131,confidentiality maintenance
2506,confined space access
122,conflict resolution
249,conformity assessment
1919,consistency monitoring
2315,construction coordination
1241,construction document review
2343,construction safety
1003,constructive communication
1639,contact lens care
2871,container assembly
2136,container management
2870,container preparation techniques
2361,containment techniques
813,contamination control
506,content accessibility
1325,content creation
1330,content development
1329,content distribution
1266,content evaluation
501,content management
1339,content supervision
2127,content writing
1352,contextual understanding
1533,continuing education
1908,continuity maintenance
67,continuous learning
1770,contraband detection
1997,contract creation
294,contract interpretation
107,contract management
1971,contract preparation
1610,contrast agent administration
2721,control board management
689,control device selection
589,control systems
2402,conveyor operation
1812,cooking techniques
2633,coolant and lubricant selection
2609,coolant management
2600,cooling system management
1018,cooperative working relationships
567,coordinate calculation
273,coordination of care
1349,copyright management
2629,core box maintenance
2625,core formation
2174,corner construction
1423,corrective lens prescription
1955,corrective measures
2031,correspondence management
97,corrosion control
1888,cosmetic restoration
88,cost control
78,cost estimation
305,cost management
1288,costume design
203,counseling techniques
2248,countersinking
2354,counterweight installation
2824,coupling and uncoupling
1080,course design
1085,course development
2175,course laying
1078,course planning
1045,court observation
240,court presentation
401,court procedures
1040,court representation
1761,courtroom maintenance
1759,courtroom security
1765,courtroom supply management
1193,craft design
1196,craft production
2773,craftsmanship
2632,crane operation
1392,creative decision making
1186,creative direction
1264,creative problem solving
1212,creative vision development
1112,creativity
383,credit counseling
371,credit evaluation
2033,credit reporting
1748,crew management
1790,crime prevention
1774,crime scene documentation
1780,criminal profiling
275,crisis communication
900,crisis intervention
201,crisis management
931,critical analysis
1444,critical care
844,critical decision making
525,critical evaluation
2066,critical information provision
2138,critical judgment
1618,critical structure identification
60,critical thinking
133,crop management
945,crop quality control
827,crop rotation
577,crop storage planning
1816,culinary creativity
922,cultural analysis
1103,cultural awareness
1031,cultural competence
926,cultural sensitivity
2028,currency counting
1961,currency exchange
2318,current checking
136,curriculum development
1171,curriculum evaluation
1762,custody management
499,custom application development
2426,custom enclosure construction
2700,custom furniture creation
374,customer communication
2815,customer complaint resolution
322,customer demographics analysis
36,customer education
2816,customer engagement
2585,customer presentation
76,customer relations
329,customer satisfaction
44,customer service
1962,customer verification
2062,customs clearance
285,customs documentation
1787,customs regulations understanding
2241,cutting and fitting
2327,cutting and shaping
2733,cutting line marking
509,cybersecurity regulations
2771,cycle management
869,cyclical system design
1710,daily living assistance
1122,daily living skills
244,damage assessment
1295,dance education
1293,dance execution
1294,dance production
2769,darkroom equipment maintenance
2045,data accuracy
148,data analysis
451,data architecture
469,data backup
972,data cleaning
552,data collection
433,data communication
612,data compilation and reporting
569,data distribution
464,data documentation
414,data encryption
534,data entry
460,data extraction
454,data integration
2041,data integrity
462,data loading
963,data logging
985,data manipulation
973,data mapping
303,data mining
446,data modeling
463,data quality control
752,data recording
355,data research
391,data review
69,data security
532,data synthesis
461,data transformation
533,data validation
235,data verification
325,data visualization
452,data warehousing
334,data-driven decision making
445,database capacity planning
447,database design
455,database documentation
458,database maintenance
443,database performance optimization
453,database reliability
444,database scalability
456,database standards
448,database testing
457,database troubleshooting
459,database upgrade planning
52,deadline management
208,death certificate management
269,death investigation
276,death notification
1864,debris removal
379,debt liquidation
382,debt management
2008,debt negotiation
8,decision making
520,decision support
1053,decision writing
970,decontamination procedures
2581,decorating techniques
2211,decorative design
2224,decorative element embedding
760,defect identification
2060,delivery notification
1412,dental appliance design
1565,dental calculus removal
1399,dental diagnosis
1405,dental health programs
1408,dental implant preparation
1404,dental instruments
1403,dental materials
1402,dental prosthetics
1561,dental record keeping
1416,dental restoration
1418,dental technology
2027,deposit management
2393,depth control
2832,depth measurement
397,derivative valuation
1523,dermatological knowledge
2387,derrick inspection
597,design calculations
494,design collaboration
1218,design creation
1187,design element definition
574,design evaluation
2774,design interpretation
651,design modification
1244,design presentation
1224,design principles
614,design refinement
1240,design rendering
150,design review
37,design specifications
1236,design trend awareness
1944,destination knowledge
2791,detail orientation
2398,detonation techniques
2068,developing situation monitoring
2751,device adjustment
2749,device assembly
1647,device design
1649,device fitting
609,device testing
1599,diagnostic material archiving
2457,diagnostic skills
1346,dialogue writing
2599,die installation
2448,diesel engine repair
1831,dietary accommodation
1620,dietary assessment
1199,digital art techniques
2109,digital asset management
1382,digital audio conversion
330,digital content optimization
2647,digital content preparation
1234,digital file preparation
507,digital file protection
1213,digital media creation
1363,digital media storage
2128,digital resource utilization
2404,dimension marking
2607,dimensional accuracy
2646,dimensional measurement
2623,dimensional verification
1933,dining reservation
1927,direction giving
1941,direction provision
2153,directional control
2005,directory navigation
1130,disability accommodation
1118,disability support
70,disaster recovery
1474,discharge planning
138,discipline enforcement
1773,discipline maintenance
1951,discipline techniques
2014,discrepancy reconciliation
2026,discrepancy resolution
811,disease analysis
785,disease prevention
946,disease resistance enhancement
1820,dishwashing
2867,dismantling techniques
2072,dispatch coordination
1227,display creation
838,display design
1251,display maintenance
258,dispute arbitration
298,dispute mediation
238,dispute resolution
38,distribution planning
1750,disturbance investigation
2527,dive planning
1134,diversity awareness
2223,division strip installation
1058,document analysis
503,document classification
2097,document distribution
1145,document editing
2102,document formatting
1140,document preservation
251,document review
505,document security
2105,document transmission
2056,documentation assembly
310,donor database management
45,donor relationship building
2488,door frame installation
2384,door sweeps installation
1472,dosage calculation
2582,dough preparation
2697,drafting
2339,drain maintenance
731,drawing and mapping
1682,dressing assistance
2391,drill bit management
966,drill cuttings analysis
2385,drilling fluid management
674,drilling techniques
1819,drink preparation
1828,drink recipes
2245,durability assessment
286,duty and tax calculation
1652,ear molding techniques
2240,earth moving
872,eco-industrial practices
843,ecological health maintenance
866,ecological knowledge
646,economic analysis
35,economic evaluation
892,economic guidelines
893,economic modeling
2685,edge alignment
2373,edge restraint installation
2215,edge shaping
2200,edge treatment
1331,editing techniques
1322,editorial standards
1075,education policy
1081,education research
1935,educational activities
137,educational leadership
1144,educational program coordination
905,educational program development
1088,educational technology
2793,efficient workflow management
940,election analysis
2489,electric door opener installation
662,electric drive systems
2417,electric motor repair
2252,electrical code compliance
2508,electrical component modification
2555,electrical component production
742,electrical engineering principles
2320,electrical hazard mitigation
858,electrical properties evaluation
2253,electrical safety procedures
2420,electrical system diagnosis
2427,electrical system inspection
2316,electrical system installation
703,electrical system testing
2433,electrical wiring
704,electro-optical sensing
657,electrochemical diagnostics
1655,electrode placement techniques
1544,electrodiagnosis
746,electromechanical design
2561,electromechanical device testing
693,electronic communication
566,electronic data processing
2099,electronic mail systems
2423,electronic systems analysis
2572,electronic testing
743,electronics assembly
1113,elementary education
183,eligibility assessment
1887,embalming techniques
2535,emergency access procedures
1692,emergency preparedness
62,emergency response
102,emergency shutdown procedures
2070,emergency unit dispatch
1948,emotional development
1260,emotional expression
1000,emotional intelligence
1026,emotional needs assessment
1715,emotional regulation
1001,emotional support
315,employee benefit research
115,employee communication
2408,employee counseling
2050,employee file management
2053,employee information provision
313,employee insurance management
127,employee orientation
118,employee relations
318,employee remuneration analysis
897,employee selection
131,employee skills enhancement
2051,employee support services
120,employment policy development
2134,enclosure maintenance
1063,encumbrance assessment
1743,endoscopic equipment operation
678,energy analysis
677,energy auditing
685,energy bill analysis
683,energy conservation
2348,energy conservation education
2350,energy consumption baseline establishment
2345,energy consumption measurement
99,energy efficiency analysis
2351,energy efficiency improvement planning
2347,energy efficient technology selection
679,energy management
682,energy procurement
2346,energy savings calculation
2722,energy scheduling
661,energy storage
2446,engine component analysis
2451,engine disassembly and rebuilding
2462,engine dismantling
2857,engine management
2834,engine performance monitoring
2469,engine repair
2455,engine tuning
724,engineering analysis
575,engineering principles
596,engineering standards
1101,english language instruction
2737,engraving techniques
1259,ensemble work
860,environmental auditing
2528,environmental awareness
1842,environmental cleaning
928,environmental consulting
871,environmental database management
873,environmental forecasting
2321,environmental hazard mitigation
865,environmental modeling
1454,environmental modification
11,environmental policy development
101,environmental protocols management
16,environmental reporting
2362,environmental safety protocols
749,environmental sampling
894,environmental stewardship
1707,environmental support
259,equal opportunity compliance
2086,equipment adjustment
2549,equipment anchoring
748,equipment calibration
2332,equipment disassembly
19,equipment maintenance
650,equipment performance evaluation
2399,equipment positioning
2233,equipment setup and teardown
758,equipment testing
1709,equipment transportation
1364,equipment troubleshooting
632,ergonomics
828,erosion control
2100,error detection
2034,escalation procedures
2775,etching techniques
1353,ethical guidelines
1077,ethnographic fieldwork
307,event coordination
1226,event decoration
1316,event hosting
1369,event lighting control
1277,event participation
47,event planning
1038,event scheduling
1041,evidence analysis
239,evidence collection
271,evidence handling
1782,evidence presentation
977,evidence preservation
1505,evidence-based practice
1184,examination preparation
2858,excavation techniques
321,executive development
1720,exercise instruction
1486,exercise physiology
1953,exercise planning
1465,exercise prescription
1106,exercise program development
934,exhibit planning
1149,exhibition design
1155,exhibition installation
2095,expense management
1940,experience management
1082,experiential learning
957,experiment monitoring
156,experimental design
944,experimentation
891,expert advice
1807,explosive detection
2396,explosives handling
2542,exterior panel replacement
1421,eye examination techniques
1574,eye movement analysis
1636,eyewear design
2673,fabric handling
2687,fabric selection
2486,fabrication skills
1899,facial hair trimming
1637,facial measurement techniques
1406,facial reconstruction
1411,facial trauma management
1920,facial treatments
64,facility examination
1834,facility inspection
55,facility maintenance
1055,fact investigation
1332,fact verification
696,failure analysis
1010,family assessment
1002,family dynamics
1510,family planning services
277,family support
2141,farm equipment operation
1991,fashion show coordination
1222,fashion trend analysis
2262,fastener installation skills
2868,fastening and packaging
2243,fastening and securing
2181,fastening techniques
2589,fat removal techniques
2503,fault analysis
2575,faulty part replacement
314,federal and state law compliance
782,feed analysis
2652,feed control systems
2696,feed rate adjustment
1109,feedback and support
161,feedstock evaluation
2356,fence repair
165,fermentation process development
1853,fertilizer application
1509,fetal monitoring
2666,fiber softening
707,fiber-optic link analysis
2568,fiberglass handling
1289,field monitoring
252,field observation
675,field operations
1076,field study
960,field testing
751,field work
1156,fieldwork experience
1735,file management
2036,filing systems
2768,film digitization
2658,filter cleaning
0,financial analysis
2013,financial calculation
2061,financial estimation
377,financial goal setting
381,financial integrity
385,financial literacy
24,financial management
378,financial market trends
354,financial modeling
83,financial objectives
79,financial operations coordination
198,financial oversight
373,financial ratio generation
1228,financial record keeping
81,financial regulations
80,financial reporting
399,financial research
2020,financial statement reconciliation
1100,fine art instruction
1200,fine art marketing
1201,fine art portfolio management
1202,fine art trends analysis
978,fingerprint analysis
2229,finished road materials
2710,finishing substance application
2269,finishing techniques
627,fire department performance evaluation
624,fire detection systems
626,fire extinguishing system design
1747,fire extinguishing techniques
1754,fire hazard identification
1751,fire investigation reporting
628,fire retardant study
1752,firefighting equipment maintenance
413,firewall configuration
1784,first aid techniques
368,fiscal planning
2689,fitting techniques
2621,fixture construction
2218,fixture installation
2636,flame control and management
2812,flight operations
2802,flight planning
2805,flight record management
605,flood control measures
884,flood risk assessment
1836,floor cleaning techniques
2191,floor covering installation
2201,floor finishing
1832,floor maintenance
2182,floor preparation techniques
2184,flooring material selection
2493,flow control
2728,flow meter calibration
2874,flow regulation
1223,flower arrangement techniques
2877,flowmeter monitoring
1479,fluency disorders
2287,fluid circulation
162,fluid dynamics analysis
1702,fluid intake and output management
1501,fluid management
2839,fluid replenishment
1738,fluid sample analysis
1562,fluoride application
2649,font and graphic management
788,food analysis
1825,food assembly
796,food development
793,food distribution
1813,food handling
1278,food preparation
1811,food presentation
790,food preservation
2590,food processing
794,food quality control
166,food safety
1621,food service
792,food storage
1449,foot care techniques
981,footwear and tire track examination
2403,force application
85,forecasting
1425,foreign object removal
622,forest management
1757,forest tract inspection
1755,forest use regulations enforcement
392,form completion
2328,form construction
2213,form setting
878,fossil analysis
2239,foundation installation
2193,foundation smoothing
2758,frame assembly
1646,frame repair
1640,frame selection
2438,frame straightening
2746,framework assembly
400,fraud detection
2063,freight negotiation
2059,freight tracking
1824,fruit preparation
658,fuel cell design
2452,fuel injection system repair
2611,fuel management
1468,function restoration
1725,functional activity support
2475,functional testing
46,fundraising strategies
205,funeral planning
1840,furniture polishing
1243,furniture selection
488,game design
493,game development documentation
1282,game strategy development
496,game technology trends
491,gameplay mechanics
495,gameplay testing
1851,gardening techniques
1220,garment construction
2690,garment repair
1827,garnish preparation
2541,gas line repair
2727,gas processing
2357,gating installation
2876,gauge monitoring
2736,gemstone grading
2740,gemstone identification
2015,general office duties
2460,generator repair
817,genetic analysis
1585,genetic disease diagnosis
1678,genetic education
825,genetic laboratory techniques
1588,genetic nomenclature
823,genetic principle instruction
824,genetic research design
2131,genetics knowledge
779,genetics research
1540,genitourinary system knowledge
538,genomics
874,geochemical analysis
559,geodetic measurements
548,geographic data analysis
192,geographic information systems
666,geological analysis
880,geological mapping
2407,geological material handling
2389,geological sampling
2635,geometry
875,geophysical information analysis
2552,geothermal loop piping installation
95,geothermal plant operations
829,gis analysis
1839,glass cleaning
2255,glass cutting techniques
2258,glass handling and transportation
2256,glass installation
2259,glass preparation
2260,glass replacement
2783,glass shaping techniques
193,global positioning systems
930,global studies
22,goal setting
213,government relations
938,governmental systems
951,gps technology
2227,grade specifications
2104,grammar and punctuation
1333,grammar correction
20,grant writing
1189,graphic design
523,graphical analysis
327,graphical illustration
881,gravity measurement
834,grazing management
341,green building practices
295,grievance handling
2221,grinding and polishing
2645,grinding wheel dressing
1697,grooming assistance
2782,groove creation
1124,gross motor skills development
2358,ground preparation
2319,grounding and connections
2414,grounding system installation
1835,groundskeeping operations
1958,group dynamics
991,group therapy
2210,grout application
1982,guest accommodation
1931,guest service
2067,guidance and instruction
260,guideline creation
2194,guideline measurement
1564,gum probing
980,gunshot residue analysis
1521,hair and nail examination
1499,hair cleansing techniques
1917,hair loss management
1989,hair presentation techniques
1898,hair styling
1190,hand tool operation
1805,hand wanding
2686,hand-eye coordination
2663,hanging techniques
2189,hardware fastening
427,hardware installation
468,hardware repair
1302,harmony and melody
2140,harvesting techniques
987,hazard identification
989,hazardous materials handling
2866,hazardous substance removal
1768,head count management
1013,health advocacy
170,health education
1017,health education materials development
1950,health habits
409,health information technology
988,health legislation enforcement
1030,health literacy
1438,health maintenance education
1497,health maintenance guidance
994,health promotion
1500,health screening
1549,health surveillance
1432,healthcare advice
406,healthcare information systems
411,healthcare policy
1435,healthcare quality control
1431,healthcare regulations
1654,hearing aid fitting
1513,hearing assessment
1518,hearing conservation
1516,hearing loss counseling
1557,heat and cold therapy
2207,heat sealing
2726,heat supply
2476,heating and cooling system repair
2639,heating process management
2626,heavy component movement
1841,heavy lifting operations
2691,hemming skills
1739,hemoglobin testing
1556,herbal medicine
2249,high ceiling work
144,higher education
1600,histological slide preparation
1596,histology techniques
933,historical accuracy
937,historical interpretation
923,historical research
1146,historical significance analysis
2859,hoist maintenance
2341,hoisting equipment operation
1174,holistic student development
1718,home and work adjustment
887,homeland security
1593,hormonal imbalance detection
1166,household management
1932,housekeeping
2052,hr documentation
1870,human animal interaction
631,human behavior analysis
582,human biobehavioral systems modeling
635,human factors engineering
929,human geography
634,human machine interface design
2443,humidity control
2378,hvac system installation
681,hvac systems
601,hydraulic modeling
2435,hydraulic systems
105,hydroelectric plant operations
660,hydrogen fuel cell systems
191,hydrologic studies
2145,identification techniques
2468,ignition system repair
1203,illustration techniques
885,image analysis
2650,image and text proofreading
1385,image editing
1231,image generation
984,image processing
1612,image quality control
2113,image retouching
1536,image review
705,imaging system design
1786,immigration law knowledge
1415,implant placement
284,import export regulations
982,impression evidence analysis
976,incident reporting
412,incident response
1116,independence training
1121,independent living skills
1457,independent travel techniques
992,individual therapy
906,individualized education planning
1123,individualized instruction
2424,industrial electronics
621,industrial hygiene research
158,industrial operations modeling
753,industrial process analysis
617,industrial process knowledge
2869,industrial truck operation
226,industry knowledge
1998,industry trends
1717,infection control
1410,infection treatment
1850,infestation assessment
408,informatics solutions development
767,information analysis
1667,information development
2093,information gathering
1163,information literacy
51,information management
1877,information provision
1147,information retrieval
1779,information sharing
2278,infrastructure maintenance
593,infrastructure planning
2579,ingredient measurement
1292,injury prevention
2651,ink flow management
1744,inmate management
2847,inspection reporting
615,installation
611,installation and maintenance
2337,installation support
145,institutional development
1089,institutional planning
1069,instructing
1613,instructing medical staff
140,instructional design
1775,instructional training
320,instructor management
130,instructor performance assessment
2515,instrument disassembly
2516,instrument reassembly
2512,instrument repair techniques
2784,instrument usage
1299,instrumental direction
1304,instrumental skills
583,instrumentation
2261,insulation application
1732,insurance billing
375,insurance planning
1975,insurance sales
1778,intelligence gathering
1034,interfaith relations
1239,interior design
1635,intervention evaluation
236,interviewing techniques
1664,intraocular pressure measurement
1507,invasive techniques
41,inventory management
2324,inverter programming
402,investigative coordination
1978,investment advice
2143,irrigation system management
1946,itinerary development
2735,jewelry design
2738,jewelry repair
2715,jig building
289,job analysis
119,job classification
2216,joint creation
2206,joint finishing
1727,joint function evaluation
90,judgment and decision making
1043,judicial communication
1052,jury instruction
1766,jury protection
2531,key fabrication
2039,key issuance
2047,key management
2539,key system design
2786,kiln operation
1821,kitchen maintenance
1815,kitchen organization
2587,labeling and packaging
290,labor law
89,labor management
196,labor negotiation
117,labor relations
2553,labor requirements
1690,labor support
1582,laboratory data entry
1589,laboratory information systems
1583,laboratory quality control
1677,laboratory result interpretation
822,laboratory safety
424,laboratory techniques
2340,ladder safety
560,land feature analysis
836,land improvement design
777,land information systems
579,land reclamation planning
1060,land record management
361,land use planning
545,landscaping techniques
1342,language adaptation
1176,language development
1350,language translation
708,laser design
1554,laser surgery techniques
1694,laundry
216,law enforcement
1852,lawn maintenance
738,layout planning
898,leadership coaching
2288,leak detection
640,lean manufacturing techniques
292,learning strategies
907,learning style analysis
1173,learning support
1091,learning theories
2674,leather working techniques
2022,leave time tracking
1071,lecture delivery
1049,legal interpretation
1046,legal knowledge
1056,legal precedent analysis
1039,legal research
2096,legal terminology application
1044,legal writing
121,legislative analysis
2759,lens alignment
2757,lens cleaning procedures
1641,lens fabrication
1644,lens grinding
2755,lens inspection methods
1387,lens management
2754,lens mounting techniques
2761,lens quality control
2509,lens system adjustment
1087,lesson planning
2205,leveling
2314,leveling and alignment
1270,liaison skills
1159,library operations
1164,library systems
1954,lifestyle education
2792,lifting and moving
1699,light cleaning
1693,light housekeeping
706,light source design
2843,lighting adequacy assessment
1907,lighting adjustment
1248,lighting planning
1214,lighting techniques
1708,linens management
1133,literacy training
1102,literature analysis
527,literature review
595,load assessment
2861,load attachment
2548,load management
2860,load positioning
2817,load securing
2848,loading procedures
372,loan application review
388,loan approval
2044,loan documentation
386,loan processing
1934,local information provision
1928,local knowledge
2069,location determination
2538,lock adjusting
1769,lock and gate inspection
2534,lock configuration management
2530,lock mechanism analysis
2532,lock repair
2536,locksmithing techniques
2365,locomotive maintenance
2159,log evaluation
2157,log grading
1373,log maintenance
2152,log measurement
2163,log sorting
2164,log tracking
418,logical analysis
449,logical reasoning
103,logistics management
2704,loose fiber stuffing
218,loss investigation
215,loss prevention strategies
1885,lost and found management
1874,lost item recovery
2236,lubrication techniques
1925,luggage handling
819,machine learning
2597,machine setup and operation
1192,machining
882,magnetic field measurement
1611,magnetic resonance imaging
2117,mail addressing
2119,mail collection
2083,mail delivery
2079,mail dispatch
2076,mail examination
197,mail handling
2118,mail postage affixation
