O*NET-SOC Code,Occupation,soc2019_code,soc2010_code,soc2010_6,isco08_code,isco08_title,4-digit code,Exposure,Mean
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00,11-9013.03,11-9013,1312,Aquaculture and fisheries production managers,1312,Not Exposed,0.22
11-9021.00,Construction Managers,11-9021.00,11-9021.00,11-9021,1323,Construction managers,1323,Minimal Exposure,0.34
11-9021.00,Construction Managers,11-9021.00,11-9021.00,11-9021,7111,House builders,7111,Not Exposed,0.14
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",11-9031.00,11-9031.00,11-9031,1341,Child care services managers,1341,Minimal Exposure,0.3
11-9032.00,"Education Administrators, Kindergarten through Secondary",11-9032.00,11-9032.00,11-9032,1345,Education managers,1345,Minimal Exposure,0.36
11-9033.00,"Education Administrators, Postsecondary",11-9033.00,11-9033.00,11-9033,1345,Education managers,1345,Minimal Exposure,0.36
11-9039.00,"Education Administrators, All Other",11-9039.00,11-9039.00,11-9039,1345,Education managers,1345,Minimal Exposure,0.36
11-9039.00,"Education Administrators, All Other",11-9039.00,11-9039.01,11-9039,1345,Education managers,1345,Minimal Exposure,0.36
11-9041.00,Architectural and Engineering Managers,11-9041.00,11-9041.00,11-9041,1223,Research and development managers,1223,Minimal Exposure,0.4
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,11-9041.01,11-9041.01,11-9041,1223,Research and development managers,1223,Minimal Exposure,0.4
11-9051.00,Food Service Managers,11-9051.00,11-9051.00,11-9051,1412,Restaurant managers,1412,Minimal Exposure,0.36
11-9071.00,Gambling Managers,11-9071.00,11-9071.00,11-9071,1431,"Sports, recreation and cultural centre managers",1431,Minimal Exposure,0.32
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11-9072.00,11-9199.00,11-9199,1114,Senior officials of special-interest organizations,1114,Minimal Exposure,0.37
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11-9072.00,11-9199.00,11-9199,1213,Policy and planning managers,1213,Not Exposed,0.36
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11-9072.00,11-9199.00,11-9199,1219,Business services and administration managers not elsewhere classified,1219,Gradient 2,0.42
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11-9072.00,11-9199.00,11-9199,1322,Mining managers,1322,Minimal Exposure,0.35
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11-9072.00,11-9199.00,11-9199,1349,Professional services managers not elsewhere classified,1349,Minimal Exposure,0.38
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11-9072.00,11-9199.00,11-9199,1431,"Sports, recreation and cultural centre managers",1431,Minimal Exposure,0.32
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11-9072.00,11-9199.00,11-9199,1439,Services managers not elsewhere classified,,,
11-9081.00,Lodging Managers,11-9081.00,11-9081.00,11-9081,1411,Hotel managers,1411,Gradient 1,0.37
11-9111.00,Medical and Health Services Managers,11-9111.00,11-9111.00,11-9111,1342,Health services managers,1342,Minimal Exposure,0.36
11-9111.00,Medical and Health Services Managers,11-9111.00,11-9111.00,11-9111,1343,Aged care services managers,1343,Minimal Exposure,0.34
11-9121.00,Natural Sciences Managers,11-9121.00,11-9121.00,11-9121,1223,Research and development managers,1223,Minimal Exposure,0.4
11-9121.01,Clinical Research Coordinators,11-9121.01,11-9121.01,11-9121,1223,Research and development managers,1223,Minimal Exposure,0.4
11-9121.02,Water Resource Specialists,11-9121.02,11-9121.02,11-9121,1223,Research and development managers,1223,Minimal Exposure,0.4
11-9131.00,Postmasters and Mail Superintendents,11-9131.00,11-9131.00,11-9131,1219,Business services and administration managers not elsewhere classified,1219,Gradient 2,0.42
11-9141.00,"Property, Real Estate, and Community Association Managers",11-9141.00,11-9141.00,11-9141,3334,Real estate agents and property managers,3334,Minimal Exposure,0.35
11-9151.00,Social and Community Service Managers,11-9151.00,11-9151.00,11-9151,1344,Social welfare managers,1344,Minimal Exposure,0.37
11-9161.00,Emergency Management Directors,11-9161.00,11-9161.00,11-9161,1112,Senior government officials,1112,Minimal Exposure,0.38
11-9171.00,Funeral Home Managers,11-9171.00,11-9061.00,11-9061,1219,Business services and administration managers not elsewhere classified,1219,Gradient 2,0.42
11-9179.00,"Personal Service Managers, All Other",11-9179.00,11-9199.00,11-9199,1114,Senior officials of special-interest organizations,1114,Minimal Exposure,0.37
11-9179.00,"Personal Service Managers, All Other",11-9179.00,11-9199.00,11-9199,1213,Policy and planning managers,1213,Not Exposed,0.36
11-9179.00,"Personal Service Managers, All Other",11-9179.00,11-9199.00,11-9199,1219,Business services and administration managers not elsewhere classified,1219,Gradient 2,0.42
11-9179.00,"Personal Service Managers, All Other",11-9179.00,11-9199.00,11-9199,1322,Mining managers,1322,Minimal Exposure,0.35
11-9179.00,"Personal Service Managers, All Other",11-9179.00,11-9199.00,11-9199,1349,Professional services managers not elsewhere classified,1349,Minimal Exposure,0.38
11-9179.00,"Personal Service Managers, All Other",11-9179.00,11-9199.00,11-9199,1431,"Sports, recreation and cultural centre managers",1431,Minimal Exposure,0.32
11-9179.00,"Personal Service Managers, All Other",11-9179.00,11-9199.00,11-9199,1439,Services managers not elsewhere classified,,,
11-9179.01,Fitness and Wellness Coordinators,11-9179.01,11-9039.02,11-9039,1345,Education managers,1345,Minimal Exposure,0.36
11-9179.02,Spa Managers,11-9179.02,39-1021.01,39-1021,3423,Fitness and recreation instructors and program leaders,3423,Not Exposed,0.25
11-9179.02,Spa Managers,11-9179.02,39-1021.01,39-1021,4414,Scribes and related workers,4414,Gradient 3,0.58
11-9179.02,Spa Managers,11-9179.02,39-1021.01,39-1021,5113,Travel guides,5113,Minimal Exposure,0.32
11-9179.02,Spa Managers,11-9179.02,39-1021.01,39-1021,5141,Hairdressers,5141,Not Exposed,0.17
11-9179.02,Spa Managers,11-9179.02,39-1021.01,39-1021,5142,Beauticians and related workers,5142,Not Exposed,0.18
11-9179.02,Spa Managers,11-9179.02,39-1021.01,39-1021,5162,Companions and valets,5162,Not Exposed,0.22
11-9179.02,Spa Managers,11-9179.02,39-1021.01,39-1021,5164,Pet groomers and animal care workers,5164,Not Exposed,0.14
11-9179.02,Spa Managers,11-9179.02,39-1021.01,39-1021,5169,Personal services workers not elsewhere classified,5169,Not Exposed,0.21
11-9179.02,Spa Managers,11-9179.02,39-1021.01,39-1021,5311,Child care workers,5311,Not Exposed,0.19
11-9179.02,Spa Managers,11-9179.02,39-1021.01,39-1021,5322,Home-based personal care workers,5322,Minimal Exposure,0.25
11-9199.00,"Managers, All Other",11-9199.00,11-9199.00,11-9199,1114,Senior officials of special-interest organizations,1114,Minimal Exposure,0.37
11-9199.00,"Managers, All Other",11-9199.00,11-9199.00,11-9199,1213,Policy and planning managers,1213,Not Exposed,0.36
11-9199.00,"Managers, All Other",11-9199.00,11-9199.00,11-9199,1219,Business services and administration managers not elsewhere classified,1219,Gradient 2,0.42
11-9199.00,"Managers, All Other",11-9199.00,11-9199.00,11-9199,1322,Mining managers,1322,Minimal Exposure,0.35
11-9199.00,"Managers, All Other",11-9199.00,11-9199.00,11-9199,1349,Professional services managers not elsewhere classified,1349,Minimal Exposure,0.38
11-9199.00,"Managers, All Other",11-9199.00,11-9199.00,11-9199,1431,"Sports, recreation and cultural centre managers",1431,Minimal Exposure,0.32
11-9199.00,"Managers, All Other",11-9199.00,11-9199.00,11-9199,1439,Services managers not elsewhere classified,,,
11-9199.00,"Managers, All Other",11-9199.00,11-9199.07,11-9199,1114,Senior officials of special-interest organizations,1114,Minimal Exposure,0.37
11-9199.00,"Managers, All Other",11-9199.00,11-9199.07,11-9199,1213,Policy and planning managers,1213,Not Exposed,0.36
11-9199.00,"Managers, All Other",11-9199.00,11-9199.07,11-9199,1219,Business services and administration managers not elsewhere classified,1219,Gradient 2,0.42
11-9199.00,"Managers, All Other",11-9199.00,11-9199.07,11-9199,1322,Mining managers,1322,Minimal Exposure,0.35
11-9199.00,"Managers, All Other",11-9199.00,11-9199.07,11-9199,1349,Professional services managers not elsewhere classified,1349,Minimal Exposure,0.38
11-9199.00,"Managers, All Other",11-9199.00,11-9199.07,11-9199,1431,"Sports, recreation and cultural centre managers",1431,Minimal Exposure,0.32
11-9199.00,"Managers, All Other",11-9199.00,11-9199.07,11-9199,1439,Services managers not elsewhere classified,,,
11-9199.01,Regulatory Affairs Managers,11-9199.01,11-9199.01,11-9199,1114,Senior officials of special-interest organizations,1114,Minimal Exposure,0.37
11-9199.01,Regulatory Affairs Managers,11-9199.01,11-9199.01,11-9199,1213,Policy and planning managers,1213,Not Exposed,0.36
11-9199.01,Regulatory Affairs Managers,11-9199.01,11-9199.01,11-9199,1219,Business services and administration managers not elsewhere classified,1219,Gradient 2,0.42
11-9199.01,Regulatory Affairs Managers,11-9199.01,11-9199.01,11-9199,1322,Mining managers,1322,Minimal Exposure,0.35
11-9199.01,Regulatory Affairs Managers,11-9199.01,11-9199.01,11-9199,1349,Professional services managers not elsewhere classified,1349,Minimal Exposure,0.38
11-9199.01,Regulatory Affairs Managers,11-9199.01,11-9199.01,11-9199,1431,"Sports, recreation and cultural centre managers",1431,Minimal Exposure,0.32
11-9199.01,Regulatory Affairs Managers,11-9199.01,11-9199.01,11-9199,1439,Services managers not elsewhere classified,,,
11-9199.02,Compliance Managers,11-9199.02,11-9199.02,11-9199,1114,Senior officials of special-interest organizations,1114,Minimal Exposure,0.37
11-9199.02,Compliance Managers,11-9199.02,11-9199.02,11-9199,1213,Policy and planning managers,1213,Not Exposed,0.36
11-9199.02,Compliance Managers,11-9199.02,11-9199.02,11-9199,1219,Business services and administration managers not elsewhere classified,1219,Gradient 2,0.42
11-9199.02,Compliance Managers,11-9199.02,11-9199.02,11-9199,1322,Mining managers,1322,Minimal Exposure,0.35
11-9199.02,Compliance Managers,11-9199.02,11-9199.02,11-9199,1349,Professional services managers not elsewhere classified,1349,Minimal Exposure,0.38
11-9199.02,Compliance Managers,11-9199.02,11-9199.02,11-9199,1431,"Sports, recreation and cultural centre managers",1431,Minimal Exposure,0.32
11-9199.02,Compliance Managers,11-9199.02,11-9199.02,11-9199,1439,Services managers not elsewhere classified,,,
11-9199.08,Loss Prevention Managers,11-9199.08,11-9199.08,11-9199,1114,Senior officials of special-interest organizations,1114,Minimal Exposure,0.37
11-9199.08,Loss Prevention Managers,11-9199.08,11-9199.08,11-9199,1213,Policy and planning managers,1213,Not Exposed,0.36
11-9199.08,Loss Prevention Managers,11-9199.08,11-9199.08,11-9199,1219,Business services and administration managers not elsewhere classified,1219,Gradient 2,0.42
11-9199.08,Loss Prevention Managers,11-9199.08,11-9199.08,11-9199,1322,Mining managers,1322,Minimal Exposure,0.35
11-9199.08,Loss Prevention Managers,11-9199.08,11-9199.08,11-9199,1349,Professional services managers not elsewhere classified,1349,Minimal Exposure,0.38
11-9199.08,Loss Prevention Managers,11-9199.08,11-9199.08,11-9199,1431,"Sports, recreation and cultural centre managers",1431,Minimal Exposure,0.32
11-9199.08,Loss Prevention Managers,11-9199.08,11-9199.08,11-9199,1439,Services managers not elsewhere classified,,,
11-9199.09,Wind Energy Operations Managers,11-9199.09,11-9199.09,11-9199,1114,Senior officials of special-interest organizations,1114,Minimal Exposure,0.37
11-9199.09,Wind Energy Operations Managers,11-9199.09,11-9199.09,11-9199,1213,Policy and planning managers,1213,Not Exposed,0.36
11-9199.09,Wind Energy Operations Managers,11-9199.09,11-9199.09,11-9199,1219,Business services and administration managers not elsewhere classified,1219,Gradient 2,0.42
11-9199.09,Wind Energy Operations Managers,11-9199.09,11-9199.09,11-9199,1322,Mining managers,1322,Minimal Exposure,0.35
11-9199.09,Wind Energy Operations Managers,11-9199.09,11-9199.09,11-9199,1349,Professional services managers not elsewhere classified,1349,Minimal Exposure,0.38
11-9199.09,Wind Energy Operations Managers,11-9199.09,11-9199.09,11-9199,1431,"Sports, recreation and cultural centre managers",1431,Minimal Exposure,0.32
11-9199.09,Wind Energy Operations Managers,11-9199.09,11-9199.09,11-9199,1439,Services managers not elsewhere classified,,,
11-9199.10,Wind Energy Development Managers,11-9199.10,11-9199.10,11-9199,1114,Senior officials of special-interest organizations,1114,Minimal Exposure,0.37
11-9199.10,Wind Energy Development Managers,11-9199.10,11-9199.10,11-9199,1213,Policy and planning managers,1213,Not Exposed,0.36
11-9199.10,Wind Energy Development Managers,11-9199.10,11-9199.10,11-9199,1219,Business services and administration managers not elsewhere classified,1219,Gradient 2,0.42
11-9199.10,Wind Energy Development Managers,11-9199.10,11-9199.10,11-9199,1322,Mining managers,1322,Minimal Exposure,0.35
11-9199.10,Wind Energy Development Managers,11-9199.10,11-9199.10,11-9199,1349,Professional services managers not elsewhere classified,1349,Minimal Exposure,0.38
11-9199.10,Wind Energy Development Managers,11-9199.10,11-9199.10,11-9199,1431,"Sports, recreation and cultural centre managers",1431,Minimal Exposure,0.32
11-9199.10,Wind Energy Development Managers,11-9199.10,11-9199.10,11-9199,1439,Services managers not elsewhere classified,,,
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,11-9199.11,11-9199.11,11-9199,1114,Senior officials of special-interest organizations,1114,Minimal Exposure,0.37
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,11-9199.11,11-9199.11,11-9199,1213,Policy and planning managers,1213,Not Exposed,0.36
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,11-9199.11,11-9199.11,11-9199,1219,Business services and administration managers not elsewhere classified,1219,Gradient 2,0.42
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,11-9199.11,11-9199.11,11-9199,1322,Mining managers,1322,Minimal Exposure,0.35
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,11-9199.11,11-9199.11,11-9199,1349,Professional services managers not elsewhere classified,1349,Minimal Exposure,0.38
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,11-9199.11,11-9199.11,11-9199,1431,"Sports, recreation and cultural centre managers",1431,Minimal Exposure,0.32
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,11-9199.11,11-9199.11,11-9199,1439,Services managers not elsewhere classified,,,
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011.00,13-1011.00,13-1011,3339,Business services agents not elsewhere classified,3339,Gradient 2,0.44
13-1021.00,"Buyers and Purchasing Agents, Farm Products",13-1021.00,13-1021.00,13-1021,3323,Buyers,3323,Minimal Exposure,0.39
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",13-1022.00,13-1022.00,13-1022,3323,Buyers,3323,Minimal Exposure,0.39
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023.00,13-1023.00,13-1023,3323,Buyers,3323,Minimal Exposure,0.39
13-1031.00,"Claims Adjusters, Examiners, and Investigators",13-1031.00,13-1031.00,13-1031,3315,Valuers and loss assessors,3315,Gradient 2,0.45
13-1031.00,"Claims Adjusters, Examiners, and Investigators",13-1031.00,13-1031.01,13-1031,3315,Valuers and loss assessors,3315,Gradient 2,0.45
13-1031.00,"Claims Adjusters, Examiners, and Investigators",13-1031.00,13-1031.02,13-1031,3315,Valuers and loss assessors,3315,Gradient 2,0.45
13-1032.00,"Insurance Appraisers, Auto Damage",13-1032.00,13-1032.00,13-1032,3315,Valuers and loss assessors,3315,Gradient 2,0.45
13-1041.00,Compliance Officers,13-1041.00,13-1041.00,13-1041,3351,Customs and border inspectors,3351,Minimal Exposure,0.32
13-1041.00,Compliance Officers,13-1041.00,13-1041.00,13-1041,3353,Government social benefits officials,3353,Gradient 2,0.45
13-1041.00,Compliance Officers,13-1041.00,13-1041.00,13-1041,3354,Government licensing officials,3354,Gradient 2,0.43
13-1041.00,Compliance Officers,13-1041.00,13-1041.02,13-1041,3351,Customs and border inspectors,3351,Minimal Exposure,0.32
13-1041.00,Compliance Officers,13-1041.00,13-1041.02,13-1041,3353,Government social benefits officials,3353,Gradient 2,0.45
13-1041.00,Compliance Officers,13-1041.00,13-1041.02,13-1041,3354,Government licensing officials,3354,Gradient 2,0.43
13-1041.01,Environmental Compliance Inspectors,13-1041.01,13-1041.01,13-1041,3351,Customs and border inspectors,3351,Minimal Exposure,0.32
13-1041.01,Environmental Compliance Inspectors,13-1041.01,13-1041.01,13-1041,3353,Government social benefits officials,3353,Gradient 2,0.45
13-1041.01,Environmental Compliance Inspectors,13-1041.01,13-1041.01,13-1041,3354,Government licensing officials,3354,Gradient 2,0.43
13-1041.03,Equal Opportunity Representatives and Officers,13-1041.03,13-1041.03,13-1041,3351,Customs and border inspectors,3351,Minimal Exposure,0.32
13-1041.03,Equal Opportunity Representatives and Officers,13-1041.03,13-1041.03,13-1041,3353,Government social benefits officials,3353,Gradient 2,0.45
13-1041.03,Equal Opportunity Representatives and Officers,13-1041.03,13-1041.03,13-1041,3354,Government licensing officials,3354,Gradient 2,0.43
13-1041.04,Government Property Inspectors and Investigators,13-1041.04,13-1041.04,13-1041,3351,Customs and border inspectors,3351,Minimal Exposure,0.32
13-1041.04,Government Property Inspectors and Investigators,13-1041.04,13-1041.04,13-1041,3353,Government social benefits officials,3353,Gradient 2,0.45
13-1041.04,Government Property Inspectors and Investigators,13-1041.04,13-1041.04,13-1041,3354,Government licensing officials,3354,Gradient 2,0.43
13-1041.06,Coroners,13-1041.06,13-1041.06,13-1041,3351,Customs and border inspectors,3351,Minimal Exposure,0.32
13-1041.06,Coroners,13-1041.06,13-1041.06,13-1041,3353,Government social benefits officials,3353,Gradient 2,0.45
