O*NET-SOC Code,Occupation,soc2019_code,soc2010_code,soc2010_6,isco08_code,isco08_title
11-3071.04,Supply Chain Managers,11-3071.04,11-9199.04,11-9199,1439.0,Services managers not elsewhere classified
11-3111.00,Compensation and Benefits Managers,11-3111.00,11-3111.00,11-3111,1212.0,Human resource managers
11-3121.00,Human Resources Managers,11-3121.00,11-3121.00,11-3121,1212.0,Human resource managers
11-3131.00,Training and Development Managers,11-3131.00,11-3131.00,11-3131,1212.0,Human resource managers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00,11-9013.00,11-9013,1311.0,Agricultural and forestry production managers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00,11-9013.00,11-9013,1312.0,Aquaculture and fisheries production managers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00,11-9013.01,11-9013,1311.0,Agricultural and forestry production managers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00,11-9013.01,11-9013,1312.0,Aquaculture and fisheries production managers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00,11-9013.02,11-9013,1311.0,Agricultural and forestry production managers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00,11-9013.02,11-9013,1312.0,Aquaculture and fisheries production managers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00,11-9013.03,11-9013,1311.0,Agricultural and forestry production managers
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00,11-9013.03,11-9013,1312.0,Aquaculture and fisheries production managers
11-9021.00,Construction Managers,11-9021.00,11-9021.00,11-9021,1323.0,Construction managers
11-9021.00,Construction Managers,11-9021.00,11-9021.00,11-9021,7111.0,House builders
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",11-9031.00,11-9031.00,11-9031,1341.0,Child care services managers
11-9032.00,"Education Administrators, Kindergarten through Secondary",11-9032.00,11-9032.00,11-9032,1345.0,Education managers
11-9033.00,"Education Administrators, Postsecondary",11-9033.00,11-9033.00,11-9033,1345.0,Education managers
11-9039.00,"Education Administrators, All Other",11-9039.00,11-9039.00,11-9039,1345.0,Education managers
11-9039.00,"Education Administrators, All Other",11-9039.00,11-9039.01,11-9039,1345.0,Education managers
11-9041.00,Architectural and Engineering Managers,11-9041.00,11-9041.00,11-9041,1223.0,Research and development managers
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,11-9041.01,11-9041.01,11-9041,1223.0,Research and development managers
11-9051.00,Food Service Managers,11-9051.00,11-9051.00,11-9051,1412.0,Restaurant managers
11-9071.00,Gambling Managers,11-9071.00,11-9071.00,11-9071,1431.0,"Sports, recreation and cultural centre managers"
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11-9072.00,11-9199.00,11-9199,1114.0,Senior officials of special-interest organizations
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11-9072.00,11-9199.00,11-9199,1213.0,Policy and planning managers
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11-9072.00,11-9199.00,11-9199,1219.0,Business services and administration managers not elsewhere classified
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11-9072.00,11-9199.00,11-9199,1322.0,Mining managers
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11-9072.00,11-9199.00,11-9199,1349.0,Professional services managers not elsewhere classified
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11-9072.00,11-9199.00,11-9199,1431.0,"Sports, recreation and cultural centre managers"
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11-9072.00,11-9199.00,11-9199,1439.0,Services managers not elsewhere classified
11-9081.00,Lodging Managers,11-9081.00,11-9081.00,11-9081,1411.0,Hotel managers
11-9111.00,Medical and Health Services Managers,11-9111.00,11-9111.00,11-9111,1342.0,Health services managers
11-9111.00,Medical and Health Services Managers,11-9111.00,11-9111.00,11-9111,1343.0,Aged care services managers
11-9121.00,Natural Sciences Managers,11-9121.00,11-9121.00,11-9121,1223.0,Research and development managers
11-9121.01,Clinical Research Coordinators,11-9121.01,11-9121.01,11-9121,1223.0,Research and development managers
11-9121.02,Water Resource Specialists,11-9121.02,11-9121.02,11-9121,1223.0,Research and development managers
11-9131.00,Postmasters and Mail Superintendents,11-9131.00,11-9131.00,11-9131,1219.0,Business services and administration managers not elsewhere classified
11-9141.00,"Property, Real Estate, and Community Association Managers",11-9141.00,11-9141.00,11-9141,3334.0,Real estate agents and property managers
11-9151.00,Social and Community Service Managers,11-9151.00,11-9151.00,11-9151,1344.0,Social welfare managers
11-9161.00,Emergency Management Directors,11-9161.00,11-9161.00,11-9161,1112.0,Senior government officials
11-9171.00,Funeral Home Managers,11-9171.00,11-9061.00,11-9061,1219.0,Business services and administration managers not elsewhere classified
11-9179.00,"Personal Service Managers, All Other",11-9179.00,11-9199.00,11-9199,1114.0,Senior officials of special-interest organizations
11-9179.00,"Personal Service Managers, All Other",11-9179.00,11-9199.00,11-9199,1213.0,Policy and planning managers
11-9179.00,"Personal Service Managers, All Other",11-9179.00,11-9199.00,11-9199,1219.0,Business services and administration managers not elsewhere classified
11-9179.00,"Personal Service Managers, All Other",11-9179.00,11-9199.00,11-9199,1322.0,Mining managers
11-9179.00,"Personal Service Managers, All Other",11-9179.00,11-9199.00,11-9199,1349.0,Professional services managers not elsewhere classified
11-9179.00,"Personal Service Managers, All Other",11-9179.00,11-9199.00,11-9199,1431.0,"Sports, recreation and cultural centre managers"
11-9179.00,"Personal Service Managers, All Other",11-9179.00,11-9199.00,11-9199,1439.0,Services managers not elsewhere classified
11-9179.01,Fitness and Wellness Coordinators,11-9179.01,11-9039.02,11-9039,1345.0,Education managers
11-9179.02,Spa Managers,11-9179.02,39-1021.01,39-1021,3423.0,Fitness and recreation instructors and program leaders
11-9179.02,Spa Managers,11-9179.02,39-1021.01,39-1021,4414.0,Scribes and related workers
11-9179.02,Spa Managers,11-9179.02,39-1021.01,39-1021,5113.0,Travel guides
11-9179.02,Spa Managers,11-9179.02,39-1021.01,39-1021,5141.0,Hairdressers
11-9179.02,Spa Managers,11-9179.02,39-1021.01,39-1021,5142.0,Beauticians and related workers
11-9179.02,Spa Managers,11-9179.02,39-1021.01,39-1021,5162.0,Companions and valets
11-9179.02,Spa Managers,11-9179.02,39-1021.01,39-1021,5164.0,Pet groomers and animal care workers
11-9179.02,Spa Managers,11-9179.02,39-1021.01,39-1021,5169.0,Personal services workers not elsewhere classified
11-9179.02,Spa Managers,11-9179.02,39-1021.01,39-1021,5311.0,Child care workers
11-9179.02,Spa Managers,11-9179.02,39-1021.01,39-1021,5322.0,Home-based personal care workers
11-9199.00,"Managers, All Other",11-9199.00,11-9199.00,11-9199,1114.0,Senior officials of special-interest organizations
11-9199.00,"Managers, All Other",11-9199.00,11-9199.00,11-9199,1213.0,Policy and planning managers
11-9199.00,"Managers, All Other",11-9199.00,11-9199.00,11-9199,1219.0,Business services and administration managers not elsewhere classified
11-9199.00,"Managers, All Other",11-9199.00,11-9199.00,11-9199,1322.0,Mining managers
11-9199.00,"Managers, All Other",11-9199.00,11-9199.00,11-9199,1349.0,Professional services managers not elsewhere classified
11-9199.00,"Managers, All Other",11-9199.00,11-9199.00,11-9199,1431.0,"Sports, recreation and cultural centre managers"
11-9199.00,"Managers, All Other",11-9199.00,11-9199.00,11-9199,1439.0,Services managers not elsewhere classified
11-9199.00,"Managers, All Other",11-9199.00,11-9199.07,11-9199,1114.0,Senior officials of special-interest organizations
11-9199.00,"Managers, All Other",11-9199.00,11-9199.07,11-9199,1213.0,Policy and planning managers
11-9199.00,"Managers, All Other",11-9199.00,11-9199.07,11-9199,1219.0,Business services and administration managers not elsewhere classified
11-9199.00,"Managers, All Other",11-9199.00,11-9199.07,11-9199,1322.0,Mining managers
11-9199.00,"Managers, All Other",11-9199.00,11-9199.07,11-9199,1349.0,Professional services managers not elsewhere classified
11-9199.00,"Managers, All Other",11-9199.00,11-9199.07,11-9199,1431.0,"Sports, recreation and cultural centre managers"
11-9199.00,"Managers, All Other",11-9199.00,11-9199.07,11-9199,1439.0,Services managers not elsewhere classified
11-9199.01,Regulatory Affairs Managers,11-9199.01,11-9199.01,11-9199,1114.0,Senior officials of special-interest organizations
11-9199.01,Regulatory Affairs Managers,11-9199.01,11-9199.01,11-9199,1213.0,Policy and planning managers
11-9199.01,Regulatory Affairs Managers,11-9199.01,11-9199.01,11-9199,1219.0,Business services and administration managers not elsewhere classified
11-9199.01,Regulatory Affairs Managers,11-9199.01,11-9199.01,11-9199,1322.0,Mining managers
11-9199.01,Regulatory Affairs Managers,11-9199.01,11-9199.01,11-9199,1349.0,Professional services managers not elsewhere classified
11-9199.01,Regulatory Affairs Managers,11-9199.01,11-9199.01,11-9199,1431.0,"Sports, recreation and cultural centre managers"
11-9199.01,Regulatory Affairs Managers,11-9199.01,11-9199.01,11-9199,1439.0,Services managers not elsewhere classified
11-9199.02,Compliance Managers,11-9199.02,11-9199.02,11-9199,1114.0,Senior officials of special-interest organizations
11-9199.02,Compliance Managers,11-9199.02,11-9199.02,11-9199,1213.0,Policy and planning managers
11-9199.02,Compliance Managers,11-9199.02,11-9199.02,11-9199,1219.0,Business services and administration managers not elsewhere classified
11-9199.02,Compliance Managers,11-9199.02,11-9199.02,11-9199,1322.0,Mining managers
11-9199.02,Compliance Managers,11-9199.02,11-9199.02,11-9199,1349.0,Professional services managers not elsewhere classified
11-9199.02,Compliance Managers,11-9199.02,11-9199.02,11-9199,1431.0,"Sports, recreation and cultural centre managers"
11-9199.02,Compliance Managers,11-9199.02,11-9199.02,11-9199,1439.0,Services managers not elsewhere classified
11-9199.08,Loss Prevention Managers,11-9199.08,11-9199.08,11-9199,1114.0,Senior officials of special-interest organizations
11-9199.08,Loss Prevention Managers,11-9199.08,11-9199.08,11-9199,1213.0,Policy and planning managers
11-9199.08,Loss Prevention Managers,11-9199.08,11-9199.08,11-9199,1219.0,Business services and administration managers not elsewhere classified
11-9199.08,Loss Prevention Managers,11-9199.08,11-9199.08,11-9199,1322.0,Mining managers
11-9199.08,Loss Prevention Managers,11-9199.08,11-9199.08,11-9199,1349.0,Professional services managers not elsewhere classified
11-9199.08,Loss Prevention Managers,11-9199.08,11-9199.08,11-9199,1431.0,"Sports, recreation and cultural centre managers"
11-9199.08,Loss Prevention Managers,11-9199.08,11-9199.08,11-9199,1439.0,Services managers not elsewhere classified
11-9199.09,Wind Energy Operations Managers,11-9199.09,11-9199.09,11-9199,1114.0,Senior officials of special-interest organizations
11-9199.09,Wind Energy Operations Managers,11-9199.09,11-9199.09,11-9199,1213.0,Policy and planning managers
11-9199.09,Wind Energy Operations Managers,11-9199.09,11-9199.09,11-9199,1219.0,Business services and administration managers not elsewhere classified
11-9199.09,Wind Energy Operations Managers,11-9199.09,11-9199.09,11-9199,1322.0,Mining managers
11-9199.09,Wind Energy Operations Managers,11-9199.09,11-9199.09,11-9199,1349.0,Professional services managers not elsewhere classified
11-9199.09,Wind Energy Operations Managers,11-9199.09,11-9199.09,11-9199,1431.0,"Sports, recreation and cultural centre managers"
11-9199.09,Wind Energy Operations Managers,11-9199.09,11-9199.09,11-9199,1439.0,Services managers not elsewhere classified
11-9199.10,Wind Energy Development Managers,11-9199.10,11-9199.10,11-9199,1114.0,Senior officials of special-interest organizations
11-9199.10,Wind Energy Development Managers,11-9199.10,11-9199.10,11-9199,1213.0,Policy and planning managers
11-9199.10,Wind Energy Development Managers,11-9199.10,11-9199.10,11-9199,1219.0,Business services and administration managers not elsewhere classified
11-9199.10,Wind Energy Development Managers,11-9199.10,11-9199.10,11-9199,1322.0,Mining managers
11-9199.10,Wind Energy Development Managers,11-9199.10,11-9199.10,11-9199,1349.0,Professional services managers not elsewhere classified
11-9199.10,Wind Energy Development Managers,11-9199.10,11-9199.10,11-9199,1431.0,"Sports, recreation and cultural centre managers"
11-9199.10,Wind Energy Development Managers,11-9199.10,11-9199.10,11-9199,1439.0,Services managers not elsewhere classified
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,11-9199.11,11-9199.11,11-9199,1114.0,Senior officials of special-interest organizations
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,11-9199.11,11-9199.11,11-9199,1213.0,Policy and planning managers
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,11-9199.11,11-9199.11,11-9199,1219.0,Business services and administration managers not elsewhere classified
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,11-9199.11,11-9199.11,11-9199,1322.0,Mining managers
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,11-9199.11,11-9199.11,11-9199,1349.0,Professional services managers not elsewhere classified
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,11-9199.11,11-9199.11,11-9199,1431.0,"Sports, recreation and cultural centre managers"
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,11-9199.11,11-9199.11,11-9199,1439.0,Services managers not elsewhere classified
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011.00,13-1011.00,13-1011,3339.0,Business services agents not elsewhere classified
13-1021.00,"Buyers and Purchasing Agents, Farm Products",13-1021.00,13-1021.00,13-1021,3323.0,Buyers
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",13-1022.00,13-1022.00,13-1022,3323.0,Buyers
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023.00,13-1023.00,13-1023,3323.0,Buyers
13-1031.00,"Claims Adjusters, Examiners, and Investigators",13-1031.00,13-1031.00,13-1031,3315.0,Valuers and loss assessors
13-1031.00,"Claims Adjusters, Examiners, and Investigators",13-1031.00,13-1031.01,13-1031,3315.0,Valuers and loss assessors
13-1031.00,"Claims Adjusters, Examiners, and Investigators",13-1031.00,13-1031.02,13-1031,3315.0,Valuers and loss assessors
13-1032.00,"Insurance Appraisers, Auto Damage",13-1032.00,13-1032.00,13-1032,3315.0,Valuers and loss assessors
13-1041.00,Compliance Officers,13-1041.00,13-1041.00,13-1041,3351.0,Customs and border inspectors
13-1041.00,Compliance Officers,13-1041.00,13-1041.00,13-1041,3353.0,Government social benefits officials
13-1041.00,Compliance Officers,13-1041.00,13-1041.00,13-1041,3354.0,Government licensing officials
13-1041.00,Compliance Officers,13-1041.00,13-1041.02,13-1041,3351.0,Customs and border inspectors
13-1041.00,Compliance Officers,13-1041.00,13-1041.02,13-1041,3353.0,Government social benefits officials
13-1041.00,Compliance Officers,13-1041.00,13-1041.02,13-1041,3354.0,Government licensing officials
13-1041.01,Environmental Compliance Inspectors,13-1041.01,13-1041.01,13-1041,3351.0,Customs and border inspectors
13-1041.01,Environmental Compliance Inspectors,13-1041.01,13-1041.01,13-1041,3353.0,Government social benefits officials
13-1041.01,Environmental Compliance Inspectors,13-1041.01,13-1041.01,13-1041,3354.0,Government licensing officials
13-1041.03,Equal Opportunity Representatives and Officers,13-1041.03,13-1041.03,13-1041,3351.0,Customs and border inspectors
13-1041.03,Equal Opportunity Representatives and Officers,13-1041.03,13-1041.03,13-1041,3353.0,Government social benefits officials
13-1041.03,Equal Opportunity Representatives and Officers,13-1041.03,13-1041.03,13-1041,3354.0,Government licensing officials
13-1041.04,Government Property Inspectors and Investigators,13-1041.04,13-1041.04,13-1041,3351.0,Customs and border inspectors
13-1041.04,Government Property Inspectors and Investigators,13-1041.04,13-1041.04,13-1041,3353.0,Government social benefits officials
13-1041.04,Government Property Inspectors and Investigators,13-1041.04,13-1041.04,13-1041,3354.0,Government licensing officials
13-1041.06,Coroners,13-1041.06,13-1041.06,13-1041,3351.0,Customs and border inspectors
13-1041.06,Coroners,13-1041.06,13-1041.06,13-1041,3353.0,Government social benefits officials
13-1041.06,Coroners,13-1041.06,13-1041.06,13-1041,3354.0,Government licensing officials
13-1041.07,Regulatory Affairs Specialists,13-1041.07,13-1041.07,13-1041,3351.0,Customs and border inspectors
13-1041.07,Regulatory Affairs Specialists,13-1041.07,13-1041.07,13-1041,3353.0,Government social benefits officials
13-1041.07,Regulatory Affairs Specialists,13-1041.07,13-1041.07,13-1041,3354.0,Government licensing officials
13-1041.08,Customs Brokers,13-1041.08,13-1199.03,13-1199,2422.0,Policy administration professionals
13-1041.08,Customs Brokers,13-1041.08,13-1199.03,13-1199,3339.0,Business services agents not elsewhere classified
13-1051.00,Cost Estimators,13-1051.00,13-1051.00,13-1051,3339.0,Business services agents not elsewhere classified
13-1071.00,Human Resources Specialists,13-1071.00,13-1071.00,13-1071,2423.0,Personnel and careers professionals
13-1071.00,Human Resources Specialists,13-1071.00,13-1071.00,13-1071,3333.0,Employment agents and contractors
13-1074.00,Farm Labor Contractors,13-1074.00,13-1074.00,13-1074,3333.0,Employment agents and contractors
13-1075.00,Labor Relations Specialists,13-1075.00,13-1075.00,13-1075,2423.0,Personnel and careers professionals
13-1081.00,Logisticians,13-1081.00,13-1081.00,13-1081,2421.0,Management and organization analysts
13-1081.01,Logistics Engineers,13-1081.01,13-1081.01,13-1081,2421.0,Management and organization analysts
13-1081.02,Logistics Analysts,13-1081.02,13-1081.02,13-1081,2421.0,Management and organization analysts
13-1082.00,Project Management Specialists,13-1082.00,11-9199.00,11-9199,1114.0,Senior officials of special-interest organizations
13-1082.00,Project Management Specialists,13-1082.00,11-9199.00,11-9199,1213.0,Policy and planning managers
13-1082.00,Project Management Specialists,13-1082.00,11-9199.00,11-9199,1219.0,Business services and administration managers not elsewhere classified
13-1082.00,Project Management Specialists,13-1082.00,11-9199.00,11-9199,1322.0,Mining managers
13-1082.00,Project Management Specialists,13-1082.00,11-9199.00,11-9199,1349.0,Professional services managers not elsewhere classified
13-1082.00,Project Management Specialists,13-1082.00,11-9199.00,11-9199,1431.0,"Sports, recreation and cultural centre managers"
13-1082.00,Project Management Specialists,13-1082.00,11-9199.00,11-9199,1439.0,Services managers not elsewhere classified
13-1082.00,Project Management Specialists,13-1082.00,13-1199.00,13-1199,2422.0,Policy administration professionals
13-1082.00,Project Management Specialists,13-1082.00,13-1199.00,13-1199,3339.0,Business services agents not elsewhere classified
13-1082.00,Project Management Specialists,13-1082.00,15-1199.00,15-1199,2519.0,Software and applications developers and analysts not elsewhere classified
13-1082.00,Project Management Specialists,13-1082.00,15-1199.00,15-1199,2529.0,Database and network professionals not elsewhere classified
13-1111.00,Management Analysts,13-1111.00,13-1111.00,13-1111,2421.0,Management and organization analysts
13-1121.00,"Meeting, Convention, and Event Planners",13-1121.00,13-1121.00,13-1121,3332.0,Conference and event planners
13-1131.00,Fundraisers,13-1131.00,13-1131.00,13-1131,4214.0,Debt-collectors and related workers
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",13-1141.00,13-1141.00,13-1141,2423.0,Personnel and careers professionals
13-1151.00,Training and Development Specialists,13-1151.00,13-1151.00,13-1151,2356.0,Information technology trainers
13-1151.00,Training and Development Specialists,13-1151.00,13-1151.00,13-1151,2424.0,Training and staff development professionals
13-1161.00,Market Research Analysts and Marketing Specialists,13-1161.00,13-1161.00,13-1161,2431.0,Advertising and marketing professionals
13-1161.01,Search Marketing Strategists,13-1161.01,15-1199.10,15-1199,2519.0,Software and applications developers and analysts not elsewhere classified
13-1161.01,Search Marketing Strategists,13-1161.01,15-1199.10,15-1199,2529.0,Database and network professionals not elsewhere classified
13-1199.00,"Business Operations Specialists, All Other",13-1199.00,13-1199.00,13-1199,2422.0,Policy administration professionals
13-1199.00,"Business Operations Specialists, All Other",13-1199.00,13-1199.00,13-1199,3339.0,Business services agents not elsewhere classified
13-1199.00,"Business Operations Specialists, All Other",13-1199.00,13-1199.02,13-1199,2422.0,Policy administration professionals
13-1199.00,"Business Operations Specialists, All Other",13-1199.00,13-1199.02,13-1199,3339.0,Business services agents not elsewhere classified
13-1199.04,Business Continuity Planners,13-1199.04,13-1199.04,13-1199,2422.0,Policy administration professionals
13-1199.04,Business Continuity Planners,13-1199.04,13-1199.04,13-1199,3339.0,Business services agents not elsewhere classified
13-1199.05,Sustainability Specialists,13-1199.05,13-1199.05,13-1199,2422.0,Policy administration professionals
13-1199.05,Sustainability Specialists,13-1199.05,13-1199.05,13-1199,3339.0,Business services agents not elsewhere classified
13-1199.06,Online Merchants,13-1199.06,13-1199.06,13-1199,2422.0,Policy administration professionals
13-1199.06,Online Merchants,13-1199.06,13-1199.06,13-1199,3339.0,Business services agents not elsewhere classified
13-1199.07,Security Management Specialists,13-1199.07,13-1199.02,13-1199,2422.0,Policy administration professionals
13-1199.07,Security Management Specialists,13-1199.07,13-1199.02,13-1199,3339.0,Business services agents not elsewhere classified
13-2011.00,Accountants and Auditors,13-2011.00,13-2011.00,13-2011,2411.0,Accountants
13-2011.00,Accountants and Auditors,13-2011.00,13-2011.01,13-2011,2411.0,Accountants
13-2011.00,Accountants and Auditors,13-2011.00,13-2011.02,13-2011,2411.0,Accountants
