skill,weighted_score
work procedure planning,9.952666666666659
gas line repair,9.952666666666659
plumbing system installation,9.952666666666659
repair planning,9.952666666666659
damage assessment,9.952666666666659
social perceptiveness,9.758333333333317
health education,9.502666666666656
first aid techniques,9.45666666666666
temperature control,9.433076923076923
payment processing,9.336833333333331
physical labor,9.306831070889883
mechanical design,9.2931212121212
financial record keeping,9.267499999999998
cleaning and organization,9.044833333333328
service orientation,9.006666666666657
community engagement,8.939539682539678
exercise instruction,8.594999999999997
progress monitoring,8.589999999999995
mathematical reasoning,8.587549019607833
technical drawing,8.585787878787867
product knowledge,8.51694444444444
curriculum development,8.473333333333319
order fulfillment,8.416666666666663
evidence handling,8.319539682539679
treatment planning,8.224999999999989
policy development,8.178888888888883
patient transportation,8.157499999999999
market research,8.078095238095232
storage and organization,8.068499999999997
package delivery,7.880833333333329
comprehensive care planning,7.853499999999993
fastening techniques,7.792333333333326
equipment testing,7.770454545454542
physical stamina,7.666903263403254
pressure control,7.61474358974358
case management,7.540999999999992
chemical analysis,7.473333333333329
fastening and packaging,7.354999999999991
industrial truck operation,7.354999999999991
pipe installation,7.3389032634032585
reassembly techniques,7.307787878787874
persuasion,7.307777777777768
material transfer,7.2873333333333274
assembly techniques,7.278454545454538
active listening,7.256111111111105
participation encouragement,7.235999999999998
program evaluation,7.203333333333321
route navigation,7.059615384615376
instructing,7.029333333333312
animal care,6.974600301659121
performance management,6.917539682539677
testimony,6.898333333333331
process control,6.856172161172157
log maintenance,6.806666666666665
site preparation,6.787831070889885
disease prevention,6.7366666666666575
lifting and moving,6.648569930069922
emotional support,6.519999999999997
recreational activity planning,6.511666666666661
data collection,6.494999999999998
reading comprehension,6.475999999999999
dressing assistance,6.409999999999996
equipment disassembly,6.384666666666663
decision making,6.346428571428568
scaffolding setup,6.30933333333333
resource monitoring,6.305873015873012
customer complaint resolution,6.1824999999999966
customer engagement,6.1824999999999966
metal shaping techniques,6.118461538461535
supply ordering,6.117499999999995
compliance management,6.076666666666664
water management,6.069448717948712
supportive device use,6.037499999999996
functional activity support,6.037499999999996
behavioral management,6.023333333333326
plant care,5.9874999999999945
community outreach,5.939999999999996
interviewing techniques,5.9033333333333315
stock unpacking,5.837499999999994
event decoration,5.837499999999994
design principles,5.837499999999994
flower arrangement techniques,5.837499999999994
display creation,5.837499999999994
writing skills,5.820000000000001
staff recruitment,5.747777777777776
food safety,5.6843333333333295
machine setup and operation,5.68388461538461
patient care,5.647499999999996
student counseling,5.639999999999991
strategic thinking,5.60587301587301
operational integrity,5.60587301587301
route planning,5.5949999999999935
waste management,5.5816666666666555
merchandise delivery,5.516666666666665
layout planning,5.484999999999988
cable management,5.473236596736595
crop management,5.409754147812972
landscaping techniques,5.4033519813519755
medical supply management,5.400833333333328
fluoride application,5.380833333333332
dental instruments,5.380833333333332
individualized education planning,5.3599999999999905
client communication,5.318333333333331
storage management,5.308
measurement skills,5.268454545454543
electrical system testing,5.265999999999993
critical care,5.260833333333325
data verification,5.234999999999998
technical communication,5.189999999999997
mathematical analysis,5.1884615384615325
forest management,5.165666666666664
grant writing,5.093333333333326
student record keeping,5.0699999999999905
client consultation,5.052999999999996
problem analysis,4.966666666666664
medical diagnosis,4.939999999999997
hair cleansing techniques,4.924999999999996
manual labor,4.916333333333334
speaking,4.825000000000001
equipment troubleshooting,4.813787878787874
financial reporting,4.7883333333333296
disability support,4.769999999999997
basic life support,4.749999999999996
debris removal,4.730333333333329
measurement and layout,4.690666666666667
tax law knowledge,4.67833333333333
machining,4.668461538461534
surgical procedures,4.628782051282046
customer relations,4.564444444444443
client assessment,4.539999999999997
design evaluation,4.536666666666666
electrical system installation,4.535666666666667
academic advising,4.509999999999998
troubleshooting skills,4.495121212121212
installation support,4.495121212121212
material removal,4.42208974358974
technical support,4.373333333333332
transportation services,4.339999999999998
home and work adjustment,4.339999999999998
infection control,4.339999999999998
hazardous materials handling,4.301666666666666
stakeholder communication,4.274999999999997
design modification,4.243666666666665
workpiece inspection,4.239294871794866
mobility assistance,4.212499999999996
critical decision making,4.144999999999998
client advocacy,4.143333333333331
regulatory knowledge,4.109999999999999
workpiece positioning,4.108756410256405
labor management,4.089206349206346
wiring installation,4.087666666666665
collaboration skills,4.059999999999997
information retrieval,4.044999999999998
printing techniques,4.013461538461538
evidence analysis,3.9799999999999978
conduit installation,3.950666666666666
administrative tasks,3.9343333333333304
cultural competence,3.9299999999999966
material analysis,3.901666666666664
medical terminology,3.8783333333333316
log grading,3.845049019607843
production planning,3.8426678876678833
sample collection,3.838333333333331
work area cleaning,3.820666666666666
wire stripping techniques,3.820666666666666
polishing techniques,3.7936666666666645
document classification,3.7833333333333323
protective covering application,3.771999999999996
adhesive application,3.7716666666666634
cognitive development,3.759999999999997
electronic systems analysis,3.742999999999997
industrial electronics,3.742999999999997
multitasking,3.7174999999999985
sample labeling,3.714999999999999
creativity,3.7099999999999973
structural analysis,3.7076666666666616
food handling,3.699999999999995
employee counseling,3.673272727272729
behavioral intervention,3.654999999999995
data security,3.6399999999999992
academic support,3.629999999999997
elementary education,3.629999999999997
discharge planning,3.584999999999997
communication systems installation,3.537999999999999
health maintenance guidance,3.470999999999999
supervision of nursing personnel,3.470999999999999
property protection,3.441666666666664
report generation,3.4366666666666665
filing systems,3.406666666666666
surface repair,3.389999999999997
patient restriction management,3.3799999999999963
behavioral observation,3.3799999999999963
daily living assistance,3.3799999999999963
social activity organization,3.3799999999999963
physical support,3.3799999999999963
access control,3.3783333333333294
technical guidance,3.3716666666666666
packaging techniques,3.3533333333333326
grout application,3.3533333333333317
strategic planning,3.3414285714285676
design specifications,3.3216666666666663
fastening and securing,3.2983333333333302
intervention evaluation,3.292499999999999
mechanism adjustment,3.2871212121212072
mechanism replacement,3.2871212121212072
functional testing,3.2871212121212072
problem identification,3.2871212121212072
proper alignment,3.2871212121212072
patron conduct,3.2658333333333327
system integration,3.262666666666664
process optimization,3.261666666666665
cutting and fitting,3.25833333333333
structural framing,3.25833333333333
cutting and shaping,3.2573333333333316
form construction,3.2573333333333316
product demonstration,3.2569444444444446
chemical synthesis,3.246666666666665
goal setting,3.2294444444444417
attendance management,3.199166666666666
file management,3.1966666666666663
order maintenance,3.188333333333332
experimental design,3.1649999999999965
crisis intervention,3.1559999999999984
harvesting techniques,3.1472307692307684
public education,3.1433333333333318
dimensional verification,3.1349999999999976
patrol procedures,3.121666666666664
presentation skills,3.1199999999999997
system testing,3.1016666666666652
structural integrity,3.0599999999999965
cargo management,3.0549999999999975
ingredient measurement,3.0383333333333304
prospect list development,3.0349999999999993
payment collection,3.0349999999999993
client education,3.0349999999999975
artistic expression,2.9999999999999982
geological analysis,2.996666666666666
evidence collection,2.994999999999998
instrumentation,2.990999999999998
fingerprint analysis,2.989999999999998
evidence preservation,2.989999999999998
problem resolution,2.984529411764706
chemical handling,2.9716666666666645
community development,2.969999999999997
medical research,2.9683333333333315
computer-aided design,2.949999999999999
script analysis,2.9200000000000004
public relations,2.914999999999999
surveillance techniques,2.9083333333333306
geographic information systems,2.901666666666665
technology design,2.9009999999999962
wiring repair techniques,2.8919999999999972
soil preparation,2.8498974358974345
image processing,2.8334615384615365
facility inspection,2.81621568627451
science,2.8126666666666633
geological material handling,2.8119999999999963
contract management,2.806666666666666
laboratory safety,2.7949999999999986
humidity control,2.7714102564102534
product design,2.7699999999999996
social service coordination,2.7483333333333313
law enforcement,2.7166666666666655
food presentation,2.711666666666664
pest control,2.7042820512820502
research and development,2.697999999999998
health promotion,2.6899999999999986
team support,2.6819999999999986
worksite organization,2.6819999999999986
meat cutting techniques,2.673333333333329
community relations,2.6616666666666657
reassembly and adjustment,2.6439999999999966
electric motor repair,2.6439999999999966
confidentiality,2.6349999999999967
inmate management,2.631
social work,2.6299999999999972
training coordination,2.6014285714285688
caulking and sealing,2.5999999999999996
range of motion evaluation,2.597499999999998
drain maintenance,2.593333333333333
meat preparation,2.59333333333333
scientific knowledge,2.580882352941175
clinical decision making,2.579999999999998
material measurement,2.579999999999998
pattern making,2.5749999999999984
vegetation management,2.569333333333332
disaster recovery,2.5649999999999995
career development,2.561666666666665
floor preparation techniques,2.558333333333332
operational procedures,2.5433333333333326
employee relations,2.5176666666666656
map reading,2.5149999999999997
product presentation,2.5149999999999983
therapy program development,2.504999999999998
observation and analysis,2.504999999999998
physical and mental well-being improvement,2.504999999999998
community integration,2.504999999999998
stockroom organization,2.5041666666666664
storage and retrieval,2.5041666666666664
personal care assistance,2.4999999999999964
ambulation support,2.4999999999999964
hemoglobin testing,2.4799999999999995
blood collection techniques,2.4799999999999995
fluid sample analysis,2.4799999999999995
phlebotomy procedures,2.4799999999999995
network security,2.4716666666666636
painting techniques,2.4383333333333335
site management,2.424166666666664
crew management,2.4133333333333327
drink preparation,2.406666666666665
assembly and joinery,2.403333333333332
simulation software,2.3901282051282027
pricing strategies,2.389444444444444
smooth and secure operations,2.384999999999999
cargo weight and balance calculation,2.384999999999999
efficient workflow management,2.384999999999999
space optimization techniques,2.384999999999999
aircraft stability maintenance,2.384999999999999
safety information communication,2.384999999999999
coordination of care,2.379999999999998
heat sealing,2.3783333333333325
log measurement,2.3716666666666666
critical evaluation,2.3699999999999997
specimen preparation,2.3599999999999994
cable installation,2.359999999999999
order management,2.350454545454545
asset protection,2.328333333333333
quality assessment,2.3249999999999997
color theory,2.32
resource preservation,2.3199999999999994
data mapping,2.3199999999999994
crisis management,2.318333333333333
system design,2.318333333333331
industrial process analysis,2.3132051282051265
manufacturing efficiency,2.3132051282051265
product reliability,2.3132051282051265
statistical evaluation,2.3132051282051265
progress documentation,2.3124999999999987
modalities administration,2.3124999999999987
weight management,2.2949999999999995
instructional design,2.289999999999999
surveying techniques,2.289999999999999
cargo examination,2.2633333333333323
customs regulations understanding,2.2633333333333323
merchandise appraisal,2.2633333333333323
immigration law knowledge,2.2633333333333323
bonding techniques,2.258461538461536
precision alignment,2.258461538461536
photography,2.249999999999999
financial regulations,2.249999999999999
accuracy checking,2.2449999999999988
mental health assessment,2.2199999999999984
fluid management,2.213333333333332
dispute resolution,2.1999999999999997
visual composition,2.1999999999999997
property evaluation,2.196666666666667
geographic data analysis,2.194999999999999
technology assessment,2.1866666666666665
computer resource development,2.1866666666666665
operational reporting,2.1866666666666665
groundskeeping operations,2.1850699300699286
automotive system analysis,2.180999999999998
decorative design,2.168333333333329
fire extinguishing techniques,2.163333333333332
creative direction,2.149999999999999
workspace organization,2.1469999999999994
rinsing and drying,2.1469999999999994
protective treatments,2.1469999999999994
weatherproofing,2.1399999999999997
office administration,2.135
nutrition and dietary management,2.129999999999998
fluid intake and output management,2.129999999999998
wound care,2.129999999999998
social support,2.1283333333333307
product evaluation,2.1266666666666665
ticket sales,2.1225
concession operations,2.1225
ride operations,2.1225
log evaluation,2.1216666666666666
log sorting,2.1216666666666666
volume estimation,2.1216666666666666
material identification,2.1216666666666666
market value determination,2.1216666666666666
log tracking,2.1216666666666666
physical examination techniques,2.1074999999999973
chemical mixing,2.1066666666666656
labor relations,2.101666666666666
discipline techniques,2.098333333333332
household management,2.0909999999999993
choreography,2.0899999999999994
daily living skills,2.089999999999998
fine art trends analysis,2.0800000000000005
fine art portfolio management,2.0800000000000005
fine art marketing,2.0800000000000005
digital art techniques,2.0800000000000005
perspective drawing,2.0800000000000005
auditing,2.079999999999999
service delivery,2.0783333333333327
passenger management,2.0383333333333318
behavior monitoring,2.0309999999999997
safety and welfare,2.0309999999999997
precision adjustment,2.026961538461537
networking,2.0249999999999995
crop quality control,2.023615384615384
nanotechnology research,2.0199999999999974
passenger safety,2.005
instructional training,1.9999999999999993
sketching and diagramming,1.9999999999999993
crime scene documentation,1.9999999999999993
eligibility assessment,1.9949999999999999
client support,1.9899999999999984
document review,1.9716666666666667
auditioning,1.9699999999999993
healthcare policy,1.9699999999999982
assistive technology,1.9699999999999975
illustration techniques,1.9600000000000004
train operation,1.9567647058823512
environmental policy development,1.953333333333332
traffic analysis,1.9499999999999995
sales forecasting,1.949444444444444
press operation,1.9484615384615374
fertilizer application,1.9086153846153842
pattern assembly,1.9083333333333325
cash drawer balancing,1.9049999999999996
template repair,1.8849999999999993
pattern finishing,1.8849999999999993
fixture construction,1.8849999999999993
health education materials development,1.8833333333333322
cooperative working relationships,1.8833333333333322
animal health monitoring,1.8803333333333334
quality improvement,1.8799999999999988
passenger assistance,1.8749999999999996
computer hardware design,1.855
transaction reconciliation,1.8549999999999995
procedural adherence,1.8549999999999995
customer verification,1.8549999999999995
age verification,1.8549999999999995
currency exchange,1.8549999999999995
product development,1.846666666666667
table setting,1.8424999999999985
land use planning,1.842138763197586
health maintenance education,1.8374999999999984
patient continuity of care,1.8374999999999984
complex procedure assistance,1.8374999999999984
data visualization,1.8316666666666654
incident response,1.8283333333333336
load assessment,1.8266666666666658
fluid circulation,1.82
rehabilitation planning,1.8199999999999976
order preservation,1.8133333333333326
patient history,1.807499999999998
defect identification,1.805999999999998
recycling operations,1.7966666666666664
model building,1.784333333333332
flooring material selection,1.783333333333331
measurement and calculation,1.783333333333331
carpet padding installation,1.783333333333331
hardware fastening,1.783333333333331
tack strip installation,1.783333333333331
surface alignment,1.783333333333331
benefits administration,1.7816666666666663
injury prevention,1.7699999999999998
change management,1.7647619047619036
irrigation system management,1.764615384615384
substance abuse treatment,1.7599999999999973
electrical wiring,1.7499999999999987
experimentation,1.7499999999999982
coating application,1.7449999999999997
data integration,1.7383333333333324
hazard identification,1.7366666666666652
leak detection,1.73
roof penetration,1.73
plumbing insulation,1.73
solar collector mounting,1.73
solar system installation,1.73
plumbing techniques,1.73
mechanical knowledge,1.726666666666667
terrain navigation,1.7233823529411767
topographic analysis,1.7199999999999989
power tool operation,1.7149999999999999
engineering principles,1.7129999999999994
cost control,1.7123015873015863
geometry,1.7034615384615375
food storage,1.7016666666666653
makeup application,1.7000000000000002
optical system setup,1.6999999999999997
workplace inspection,1.6900000000000004
health legislation enforcement,1.6900000000000004
energy conservation,1.69
crime prevention,1.6883333333333332
mathematical operations,1.688333333333333
flow control,1.686666666666666
legal research,1.685
anesthesia administration,1.6824999999999992
clinical data analysis,1.6799999999999984
linens management,1.6783333333333332
solution preparation,1.6734615384615363
leveling and alignment,1.6700000000000004
sensitive database management,1.6699999999999997
guidance and instruction,1.6699999999999997
communication systems management,1.6699999999999997
critical information provision,1.6699999999999997
call recording and documentation,1.6699999999999997
location determination,1.6699999999999997
developing situation monitoring,1.6699999999999997
emergency unit dispatch,1.6699999999999997
pain management,1.669999999999998
threat analysis,1.6633333333333324
physical therapy techniques,1.659999999999999
presentation techniques,1.6449999999999998
animal nutrition,1.6399999999999997
academic writing,1.6399999999999997
video production,1.6314285714285708
preventative care,1.6300000000000001
proposal writing,1.6299999999999997
drafting,1.6234615384615376
electro-optical sensing,1.6199999999999997
fiber-optic link analysis,1.6199999999999997
laser design,1.6199999999999997
light source design,1.6199999999999997
photonics prototyping,1.6199999999999997
photonic design history creation,1.6199999999999997
imaging system design,1.6199999999999997
boiler operation,1.6199999999999988
weather monitoring,1.6166666666666656
temperature monitoring,1.6166666666666654
dishwashing,1.6166666666666654
fruit preparation,1.6166666666666654
kitchen maintenance,1.6166666666666654
vegetable preparation,1.6166666666666654
food assembly,1.6166666666666654
geothermal plant operations,1.6099999999999999
mathematical modeling,1.5899999999999994
dispatch coordination,1.5799999999999996
family dynamics,1.5749999999999988
analytical skills,1.5716666666666663
accessory installation,1.5709999999999997
tire repair,1.5709999999999997
floor maintenance,1.5699999999999978
erosion control,1.565666666666666
material flow,1.563333333333333
chemical application,1.561666666666666
photo mosaics creation,1.5599999999999996
data manipulation,1.5599999999999996
court procedures,1.5449999999999997
talent acquisition,1.5416666666666663
compensation analysis,1.5366666666666662
skin preparation,1.53
continuity maintenance,1.53
character research,1.53
lighting adjustment,1.53
special effects creation,1.53
prosthetic attachment,1.53
period setting knowledge,1.53
airway management,1.5274999999999983
venipuncture and blood sampling,1.5199999999999991
massage and soft tissue mobilization,1.5199999999999991
public health reporting,1.5199999999999991
natural medicine administration,1.5199999999999991
pharmacological knowledge,1.5199999999999991
gas processing,1.5166666666666664
spray direction,1.5116666666666663
area coverage,1.5116666666666663
weather consideration,1.5116666666666663
plant diagnosis,1.5116666666666663
financial operations coordination,1.5
image editing,1.4934615384615364
portion control,1.49
case analysis,1.4899999999999998
contract preparation,1.4899999999999998
intelligence gathering,1.4899999999999995
information sharing,1.4899999999999995
criminal profiling,1.4899999999999995
pattern recognition,1.4899999999999995
information analysis,1.4899999999999989
exercise prescription,1.4899999999999989
service record keeping,1.478787878787876
image analysis,1.4774999999999991
medical ethics,1.4774999999999991
heating and cooling system repair,1.4750000000000005
technical manual utilization,1.4750000000000005
precision record keeping,1.4750000000000005
pipe repair methods,1.4750000000000005
winch operation,1.4737820512820505
engine management,1.4737820512820505
excavation techniques,1.4737820512820505
anchor placement,1.4737820512820505
prototyping,1.4700000000000006
drilling fluid management,1.47
physical fitness maintenance,1.4699999999999998
die installation,1.4651282051282037
hardware installation,1.4649999999999976
energy efficiency analysis,1.464761904761904
custom application development,1.461666666666665
ensemble work,1.4599999999999989
steam generation,1.4499999999999986
fuel management,1.4499999999999986
heat supply,1.4499999999999986
family assessment,1.444999999999999
radiation safety,1.4433333333333316
cognitive function assessment,1.4333333333333316
complex analysis,1.4316666666666658
research skills,1.4249999999999985
procedure establishment,1.4244444444444444
information management,1.4244444444444444
deadline management,1.4244444444444444
report analysis,1.4244444444444444
component replacement,1.4209999999999985
return and exchange management,1.4199999999999997
mapmaking,1.419999999999999
land information systems,1.419999999999999
map editing,1.419999999999999
recipe following,1.4016666666666657
material positioning,1.3991666666666667
continuous learning,1.397499999999999
product sampling,1.396666666666667
alarm response,1.396666666666667
food service,1.3949999999999994
film digitization,1.3934615384615368
darkroom equipment maintenance,1.3934615384615368
malfunction detection,1.3934615384615368
photographic reproduction techniques,1.3934615384615368
chemical measurement,1.3934615384615368
display design,1.3899999999999997
behavior modification,1.3899999999999995
soldering skills,1.3863333333333323
credit evaluation,1.3849999999999996
geological sampling,1.38
well servicing,1.38
survey data interpretation,1.3766666666666665
material manipulation,1.375
remote sensing,1.3749999999999991
maintenance documentation,1.37
geothermal loop piping installation,1.37
instructing medical staff,1.369999999999999
contrast agent administration,1.369999999999999
image quality control,1.369999999999999
magnetic resonance imaging,1.369999999999999
comforting patients,1.369999999999999
map creation,1.3649999999999993
client data analysis,1.359999999999999
mental health support,1.3549999999999989
community resource navigation,1.3533333333333322
benefit identification,1.3533333333333322
resource referral,1.3533333333333322
emotional needs assessment,1.3533333333333322
behavioral strategy development,1.3533333333333322
scientific documentation,1.3449999999999986
test compilation,1.3449999999999986
depth measurement,1.3437820512820504
decision writing,1.3399999999999999
allegation assessment,1.3399999999999999
compensation awarding,1.3399999999999999
sentence imposition,1.3399999999999999
legal interpretation,1.3399999999999999
jury instruction,1.3399999999999999
market knowledge,1.336666666666667
ventilation management,1.3349999999999984
housekeeping,1.3333333333333326
programming cnc machines,1.330999999999999
coolant and lubricant selection,1.3291666666666668
asphalt patching,1.3286666666666669
pavement repair techniques,1.3286666666666669
environmental sampling,1.326666666666666
field work,1.326666666666666
remediation techniques,1.326666666666666
soil sampling,1.3249999999999995
sensor installation,1.3249999999999995
gps technology,1.3249999999999995
precision agriculture,1.3249999999999995
group therapy,1.3149999999999986
sustainable design,1.31
biological data analysis,1.31
cartography,1.3099999999999992
disturbance investigation,1.308333333333333
oil changes,1.3009999999999997
stock ordering,1.3009999999999997
fluid replenishment,1.3009999999999997
vocal techniques,1.2999999999999992
data modeling,1.2999999999999992
roof preparation,1.2746666666666666
roof inspection,1.2746666666666666
computerized automotive applications,1.270999999999999
alternative energy testing,1.270999999999999
prototype development,1.270999999999999
graphic design,1.27
menu planning,1.2699999999999998
roof repair,1.2646666666666666
ladder safety,1.2646666666666666
hoisting equipment operation,1.2646666666666666
nutrient retention,1.2556666666666663
laboratory data entry,1.25
system administration,1.243333333333333
genetic analysis,1.2399999999999998
project feasibility analysis,1.2383333333333328
container preparation techniques,1.2349999999999992
container assembly,1.2349999999999992
product shaping,1.23
product casting,1.23
product formation,1.23
manual dexterity,1.23
work order analysis,1.23
volunteer coordination,1.2283333333333328
financial oversight,1.2283333333333328
microscopic examination,1.2233333333333323
patient mobility techniques,1.2216666666666667
equipment transportation,1.2216666666666667
environmental support,1.2216666666666667
emotional development,1.2199999999999993
child safety,1.2199999999999993
health habits,1.2199999999999993
rest period management,1.2199999999999993
grooming assistance,1.2183333333333328
organizational skills,1.218333333333331
infrastructure planning,1.2166666666666666
legislative analysis,1.2149999999999999
career counseling,1.203333333333333
engineering standards,1.2000000000000002
insulation application,1.1999999999999995
nutrition studies,1.1983333333333317
cooking techniques,1.1900000000000002
load securing,1.1899999999999997
finishing techniques,1.1899999999999986
group dynamics,1.1876666666666669
signal interpretation,1.1858823529411755
mental health education,1.184999999999999
stone carving,1.1799999999999997
career guidance,1.17
teaching,1.1699999999999995
academic planning,1.1649999999999965
identification techniques,1.164
field monitoring,1.1595294117647061
job classification,1.1549999999999998
respiratory function assessment,1.1499999999999997
medical device management,1.1499999999999997
mortar application,1.148333333333333
masonry techniques,1.148333333333333
public works planning,1.1466666666666667
material stress calculation,1.1466666666666667
blueprint creation,1.1466666666666667
rigging and hoisting,1.1449999999999998
materials science,1.1449999999999998
casing insertion,1.14
depth control,1.14
drill bit management,1.14
alignment management,1.14
assembly and installation,1.14
medical coding,1.1399999999999997
insurance billing,1.1399999999999997
agricultural production,1.1396153846153843
farm equipment operation,1.1396153846153843
sample preparation,1.13
experiment monitoring,1.13
invasive techniques,1.1299999999999994
work order and instruction reading,1.129999999999999
color consistency control,1.129999999999999
therapeutic communication,1.129999999999999
paint mixing and matching,1.129999999999999
adhesion and durability control,1.129999999999999
portfolio management,1.123333333333333
patient recovery,1.1199999999999992
healthcare information systems,1.1166666666666665
mathematical calculations and applications,1.1051282051282048
shop math and layout techniques,1.1051282051282048
visual concept development,1.0999999999999996
design element definition,1.0999999999999996
device testing,1.0949999999999998
food processing,1.0949999999999993
boat operation techniques,1.0946153846153837
utensil handling,1.0933333333333317
gemstone grading,1.0916666666666661
jewelry repair,1.088333333333333
engraving techniques,1.088333333333333
precision craftsmanship,1.088333333333333
jewelry design,1.088333333333333
evidence presentation,1.0749999999999995
employee communication,1.0699999999999998
typography selection,1.0699999999999998
sewing techniques,1.0649999999999997
literature review,1.0599999999999987
environmental reporting,1.0533333333333323
dance execution,1.0499999999999996
movement analysis,1.0499999999999996
dance production,1.0499999999999996
dance education,1.0499999999999996
physical proficiency,1.0499999999999996
surface smoothing,1.0499999999999992
communication planning,1.0449999999999997
aircraft maintenance,1.0426666666666664
compensation planning,1.0399999999999998
studio art therapy,1.0399999999999991
art supply management,1.0399999999999991
pat-down searches,1.0383333333333327
metal detector operation,1.0383333333333327
hand wanding,1.0383333333333327
chemical swab systems,1.0383333333333327
passenger monitoring,1.0383333333333327
explosive detection,1.0383333333333327
x-ray machine operation,1.0383333333333327
baggage inspection,1.0383333333333327
visual storytelling,1.0300000000000005
financial modeling,1.0249999999999995
coolant management,1.0216666666666658
impression evidence analysis,1.0199999999999996
blood stain pattern analysis,1.0199999999999996
footwear and tire track examination,1.0199999999999996
physical evidence analysis,1.0199999999999996
gunshot residue analysis,1.0199999999999996
complex systems design,1.0199999999999994
welcoming environment maintenance,1.018333333333333
direction giving,1.018333333333333
local knowledge,1.018333333333333
luggage handling,1.018333333333333
engine tuning,1.014999999999998
sheet metal repair,1.014999999999998
ecological health maintenance,1.005
timber appraisal,1.005
reforestation techniques,1.005
industry knowledge,0.9999999999999996
installation and maintenance,0.9979999999999998
complex calculations,0.9979999999999998
data compilation and reporting,0.9979999999999998
historical accuracy,0.9950000000000001
exhibit planning,0.9950000000000001
distribution planning,0.9933333333333332
clinical trial management,0.9899999999999997
research staff instructing,0.9899999999999997
subject screening,0.9899999999999997
study protocol development,0.9899999999999997
clinical study coordination,0.9899999999999997
energy procurement,0.9800000000000001
renewable energy systems,0.9800000000000001
energy management,0.9800000000000001
climate control systems,0.9800000000000001
hvac systems,0.9800000000000001
audio editing,0.9799999999999998
self advocacy,0.9799999999999993
customer presentation,0.9766666666666661
language development,0.9750000000000004
security policy development,0.9749999999999995
biological systems analysis,0.9699999999999998
field study,0.9699999999999998
human biobehavioral systems modeling,0.9699999999999998
medical diagnostic equipment design,0.9699999999999998
automotive engineering principles,0.9699999999999993
kitchen organization,0.9649999999999997
culinary creativity,0.9649999999999997
robotics maintenance,0.9649999999999995
vendor management,0.96
economic evaluation,0.96
mechanical aptitude,0.9599999999999996
music composition,0.9599999999999986
geological mapping,0.9499999999999996
health advocacy,0.9399999999999996
engine repair,0.9349999999999999
media relations,0.9349999999999995
physical comedy,0.9299999999999995
role development,0.9299999999999995
character interpretation,0.9299999999999995
emotional expression,0.9299999999999995
biomass feedstock assessment,0.9249999999999998
mathematical procedures,0.9233333333333326
physical properties testing,0.9233333333333326
transportation coordination,0.9216666666666662
energy auditing,0.9200000000000002
energy bill analysis,0.9200000000000002
door sweeps installation,0.9199999999999999
hvac system installation,0.9199999999999999
weather-stripping application,0.9199999999999999
combustion air management,0.9199999999999999
air flow system analysis,0.9199999999999999
caulking and glazing,0.9199999999999999
