soc,skills_list,skill_text,cluster_id,canonical_skill
Fundraising Managers," ""Budget Management""",budget management,2,budgeting
Fundraising Managers," ""Grant Writing""",grant writing,20,grant writing
Fundraising Managers," ""Community Outreach""",community outreach,48,community outreach
Fundraising Managers," ""Public Relations""",public relations,49,public relations
Fundraising Managers," ""Marketing""",marketing,17,marketing strategies
Fundraising Managers," ""Policy Development""",policy development,1,policy development
Fundraising Managers," ""Team Management""",team management,3,team management
Fundraising Managers," ""Time Management""",time management,7,time management
Fundraising Managers," ""Financial Resource Management""",financial resource management,24,financial management
Fundraising Managers," ""Communication""]",communication,4,communication
Administrative Services Managers,"[""record management""",record management,50,record keeping
Administrative Services Managers," ""information management""",information management,51,information management
Administrative Services Managers," ""resource allocation""",resource allocation,7,time management
Administrative Services Managers," ""goal setting""",goal setting,22,goal setting
Administrative Services Managers," ""deadline management""",deadline management,52,deadline management
Administrative Services Managers," ""supply chain management""",supply chain management,26,supply chain management
Administrative Services Managers," ""training and development""",training and development,21,training and development
Administrative Services Managers," ""staff management""",staff management,25,personnel management
Administrative Services Managers," ""report analysis""",report analysis,53,report analysis
Administrative Services Managers," ""operational monitoring""",operational monitoring,23,operations monitoring
Administrative Services Managers," ""process improvement""",process improvement,19,equipment maintenance
Administrative Services Managers," ""policy development""",policy development,1,policy development
Administrative Services Managers," ""procedure implementation""]",procedure implementation,54,procedure establishment
Facilities Managers,"[""Facility Management""",facility management,55,facility maintenance
Facilities Managers," ""Budget Planning""",budget planning,2,budgeting
Facilities Managers," ""Resource Allocation""",resource allocation,7,time management
Facilities Managers," ""Procurement""",procurement,56,procurement
Facilities Managers," ""Construction Management""",construction management,15,project management
Facilities Managers," ""Renovation Planning""",renovation planning,57,renovation planning
Facilities Managers," ""Equipment Maintenance""",equipment maintenance,19,equipment maintenance
Facilities Managers," ""Systems Analysis""",systems analysis,58,systems analysis
Facilities Managers," ""Time Management""",time management,7,time management
Facilities Managers," ""Financial Management""",financial management,24,financial management
Facilities Managers," ""Material Resource Management""",material resource management,59,material handling
Facilities Managers," ""Personnel Management""",personnel management,25,personnel management
Facilities Managers," ""Critical Thinking""",critical thinking,60,critical thinking
Facilities Managers," ""Problem Solving""]",problem solving,5,problem solving
Security Managers,"[""Risk Assessment""",risk assessment,9,risk management
Security Managers," ""Security Policy Development""",security policy development,61,security policy development
Security Managers," ""Emergency Response Planning""",emergency response planning,62,emergency response
Security Managers," ""Physical Security""",physical security,63,physical security
Security Managers," ""Facility Examination""",facility examination,64,facility examination
Security Managers," ""Security Breach Investigation""",security breach investigation,65,security breach investigation
Security Managers," ""Budget Management""",budget management,2,budgeting
Security Managers," ""Team Leadership""",team leadership,3,team management
Security Managers," ""Communication""",communication,4,communication
Security Managers," ""Report Writing""",report writing,66,report writing
Security Managers," ""Continuous Learning""",continuous learning,67,continuous learning
Security Managers," ""Security Technology Management""",security technology management,68,network security
Security Managers," ""Regulatory Compliance""]",regulatory compliance,19,equipment maintenance
Computer and Information Systems Managers,"[""Project planning""",project planning,15,project management
Computer and Information Systems Managers," ""Resource allocation""",resource allocation,7,time management
Computer and Information Systems Managers," ""Data security""",data security,69,data security
Computer and Information Systems Managers," ""Disaster recovery""",disaster recovery,70,disaster recovery
Computer and Information Systems Managers," ""Technical support""",technical support,71,technical support
Computer and Information Systems Managers," ""Computer resource development""",computer resource development,72,computer resource development
Computer and Information Systems Managers," ""Staff supervision""",staff supervision,42,staff supervision
Computer and Information Systems Managers," ""Budget management""",budget management,2,budgeting
Computer and Information Systems Managers," ""Operational reporting""",operational reporting,73,operational reporting
Computer and Information Systems Managers," ""Technology assessment""",technology assessment,74,technology assessment
Computer and Information Systems Managers," ""System evaluation""",system evaluation,23,operations monitoring
Computer and Information Systems Managers," ""Financial management""",financial management,24,financial management
Computer and Information Systems Managers," ""Resource control""]",resource control,7,time management
Financial Managers,"[""Financial Analysis""",financial analysis,0,financial analysis
Financial Managers," ""Budget Planning""",budget planning,2,budgeting
Financial Managers," ""Team Management""",team management,3,team management
Financial Managers," ""Staff Recruitment""",staff recruitment,75,staff recruitment
Financial Managers," ""Training Program Development""",training program development,21,training and development
Financial Managers," ""Customer Relationship Building""",customer relationship building,76,customer relations
Financial Managers," ""Cash Flow Management""",cash flow management,77,cash handling
Financial Managers," ""Financial Resource Allocation""",financial resource allocation,24,financial management
Financial Managers," ""Cost Analysis""",cost analysis,78,cost estimation
Financial Managers," ""Financial Operations Coordination""",financial operations coordination,79,financial operations coordination
Financial Managers," ""Financial Asset Management""",financial asset management,24,financial management
Financial Managers," ""Financial Decision Making""]",financial decision making,24,financial management
Treasurers and Controllers,"[""Financial Analysis""",financial analysis,0,financial analysis
Treasurers and Controllers," ""Budget Planning""",budget planning,2,budgeting
Treasurers and Controllers," ""Financial Management""",financial management,24,financial management
Treasurers and Controllers," ""Cash Management""",cash management,77,cash handling
Treasurers and Controllers," ""Investment Planning""",investment planning,24,financial management
Treasurers and Controllers," ""Financial Reporting""",financial reporting,80,financial reporting
Treasurers and Controllers," ""Financial Compliance""",financial compliance,81,financial regulations
Treasurers and Controllers," ""Financial Regulation""",financial regulation,81,financial regulations
Treasurers and Controllers," ""Accounting Standards""",accounting standards,82,accounting standards
Treasurers and Controllers," ""Financial Policy Development""",financial policy development,24,financial management
Treasurers and Controllers," ""Financial Objectives""",financial objectives,83,financial objectives
Treasurers and Controllers," ""Financial Resource Management""]",financial resource management,24,financial management
Investment Fund Managers,"[""Financial Analysis""",financial analysis,0,financial analysis
Investment Fund Managers," ""Investment Strategy Development""",investment strategy development,24,financial management
Investment Fund Managers," ""Risk Management""",risk management,9,risk management
Investment Fund Managers," ""Portfolio Management""",portfolio management,84,portfolio management
Investment Fund Managers," ""Market Research""",market research,29,market research
Investment Fund Managers," ""Financial Forecasting""",financial forecasting,85,forecasting
Investment Fund Managers," ""Valuation Techniques""",valuation techniques,86,property valuation
Investment Fund Managers," ""Investment Planning""",investment planning,24,financial management
Investment Fund Managers," ""Communication Skills""",communication skills,4,communication
Investment Fund Managers," ""Regulatory Compliance""",regulatory compliance,19,equipment maintenance
Investment Fund Managers," ""Market Trend Analysis""",market trend analysis,29,market research
Investment Fund Managers," ""Financial Planning""",financial planning,24,financial management
Investment Fund Managers," ""Investment Decision Making""]",investment decision making,24,financial management
Industrial Production Managers,"[""Financial Analysis""",financial analysis,0,financial analysis
Industrial Production Managers," ""Quality Control""",quality control,19,equipment maintenance
Industrial Production Managers," ""Resource Allocation""",resource allocation,7,time management
Industrial Production Managers," ""Production Planning""",production planning,87,production planning
Industrial Production Managers," ""Inventory Management""",inventory management,41,inventory management
Industrial Production Managers," ""Cost Control""",cost control,88,cost control
Industrial Production Managers," ""Labor Management""",labor management,89,labor management
Industrial Production Managers," ""Equipment Maintenance""",equipment maintenance,19,equipment maintenance
Industrial Production Managers," ""Operations Analysis""",operations analysis,19,equipment maintenance
Industrial Production Managers," ""Quality Assurance""",quality assurance,19,equipment maintenance
Industrial Production Managers," ""Time Management""",time management,7,time management
Industrial Production Managers," ""Budgeting""",budgeting,2,budgeting
Industrial Production Managers," ""Staff Management""]",staff management,25,personnel management
Quality Control Systems Managers,"[""Quality Control Analysis""",quality control analysis,19,equipment maintenance
Quality Control Systems Managers," ""Judgment and Decision Making""",judgment and decision making,90,judgment and decision making
Quality Control Systems Managers," ""Systems Analysis""",systems analysis,58,systems analysis
Quality Control Systems Managers," ""Systems Evaluation""",systems evaluation,23,operations monitoring
Quality Control Systems Managers," ""Time Management""",time management,7,time management
Quality Control Systems Managers," ""Management of Financial Resources""",management of financial resources,24,financial management
Quality Control Systems Managers," ""Management of Material Resources""",management of material resources,59,material handling
Quality Control Systems Managers," ""Management of Personnel Resources""",management of personnel resources,25,personnel management
Quality Control Systems Managers," ""Quality Assurance""",quality assurance,19,equipment maintenance
Quality Control Systems Managers," ""Product Testing""",product testing,91,product testing
Quality Control Systems Managers," ""Quality Documentation""",quality documentation,92,technical documentation
Quality Control Systems Managers," ""Quality Standards Communication""",quality standards communication,19,equipment maintenance
Quality Control Systems Managers," ""Operational Procedure Review""",operational procedure review,93,operational procedures
Quality Control Systems Managers," ""Quality Control Policy Formulation""]",quality control policy formulation,94,quality control policy formulation
Geothermal Production Managers,"[""Geothermal Plant Operations""",geothermal plant operations,95,geothermal plant operations
Geothermal Production Managers," ""Equipment Maintenance Techniques""",equipment maintenance techniques,19,equipment maintenance
Geothermal Production Managers," ""Operations Monitoring""",operations monitoring,23,operations monitoring
Geothermal Production Managers," ""Complex Problem Solving""",complex problem solving,96,complex problem solving
Geothermal Production Managers," ""Critical Thinking""",critical thinking,60,critical thinking
Geothermal Production Managers," ""Equipment Selection""",equipment selection,19,equipment maintenance
Geothermal Production Managers," ""Maintenance Planning""",maintenance planning,19,equipment maintenance
Geothermal Production Managers," ""Operations Analysis""",operations analysis,19,equipment maintenance
Geothermal Production Managers," ""Resource Management""",resource management,7,time management
Geothermal Production Managers," ""Budget Development""",budget development,2,budgeting
Geothermal Production Managers," ""Record Keeping""",record keeping,50,record keeping
Geothermal Production Managers," ""Corrosion Control""]",corrosion control,97,corrosion control
Biofuels Production Managers,"[""Biofuels production management""",biofuels production management,98,biofuels research
Biofuels Production Managers," ""Operational efficiency analysis""",operational efficiency analysis,99,energy efficiency analysis
Biofuels Production Managers," ""Process control techniques""",process control techniques,100,process control
Biofuels Production Managers," ""Equipment maintenance""",equipment maintenance,19,equipment maintenance
Biofuels Production Managers," ""Quality control analysis""",quality control analysis,19,equipment maintenance
Biofuels Production Managers," ""Safety protocols management""",safety protocols management,19,equipment maintenance
Biofuels Production Managers," ""Environmental protocols management""",environmental protocols management,101,environmental protocols management
Biofuels Production Managers," ""Budget management""",budget management,2,budgeting
Biofuels Production Managers," ""Resource allocation""",resource allocation,7,time management
Biofuels Production Managers," ""Team supervision""",team supervision,42,staff supervision
Biofuels Production Managers," ""Employee training""",employee training,42,staff supervision
Biofuels Production Managers," ""Emergency shutdown procedures""]",emergency shutdown procedures,102,emergency shutdown procedures
Biomass Power Plant Managers,"[""Budget Management""",budget management,2,budgeting
Biomass Power Plant Managers," ""Communication""",communication,4,communication
Biomass Power Plant Managers," ""Critical Thinking""",critical thinking,60,critical thinking
Biomass Power Plant Managers," ""Equipment Maintenance""",equipment maintenance,19,equipment maintenance
Biomass Power Plant Managers," ""Financial Analysis""",financial analysis,0,financial analysis
Biomass Power Plant Managers," ""Inventory Management""",inventory management,41,inventory management
Biomass Power Plant Managers," ""Leadership""",leadership,3,team management
Biomass Power Plant Managers," ""Logistics Planning""",logistics planning,103,logistics management
Biomass Power Plant Managers," ""Mathematics""",mathematics,104,mathematics
Biomass Power Plant Managers," ""Monitoring""",monitoring,23,operations monitoring
Biomass Power Plant Managers," ""Operations Management""",operations management,19,equipment maintenance
Biomass Power Plant Managers," ""Problem Solving""",problem solving,5,problem solving
Biomass Power Plant Managers," ""Quality Control""",quality control,19,equipment maintenance
Biomass Power Plant Managers," ""Safety Management""]",safety management,19,equipment maintenance
Hydroelectric Production Managers,"[""hydroelectric plant operations""",hydroelectric plant operations,105,hydroelectric plant operations
Hydroelectric Production Managers," ""equipment maintenance""",equipment maintenance,19,equipment maintenance
Hydroelectric Production Managers," ""problem-solving""",problem-solving,5,problem solving
Hydroelectric Production Managers," ""resource management""",resource management,7,time management
Hydroelectric Production Managers," ""budget development""",budget development,2,budgeting
Hydroelectric Production Managers," ""policy evaluation""",policy evaluation,1,policy development
Hydroelectric Production Managers," ""complex analysis""",complex analysis,106,complex analysis
Hydroelectric Production Managers," ""operations planning""",operations planning,19,equipment maintenance
Hydroelectric Production Managers," ""safety standards""",safety standards,19,equipment maintenance
Hydroelectric Production Managers," ""environmental protection""",environmental protection,9,risk management
Hydroelectric Production Managers," ""equipment installation""",equipment installation,19,equipment maintenance
Hydroelectric Production Managers," ""facility maintenance""]",facility maintenance,55,facility maintenance
Purchasing Managers,"[""Financial Analysis""",financial analysis,0,financial analysis
Purchasing Managers," ""Contract Management""",contract management,107,contract management
Purchasing Managers," ""Vendor Negotiation""",vendor negotiation,39,negotiation
Purchasing Managers," ""Market Research""",market research,29,market research
Purchasing Managers," ""Budget Management""",budget management,2,budgeting
Purchasing Managers," ""Team Leadership""",team leadership,3,team management
Purchasing Managers," ""Staff Training""",staff training,42,staff supervision
Purchasing Managers," ""Cost Reduction Strategies""",cost reduction strategies,78,cost estimation
Purchasing Managers," ""Purchasing Procedures""",purchasing procedures,108,purchasing procedures
Purchasing Managers," ""Supply Chain Management""",supply chain management,26,supply chain management
Purchasing Managers," ""Vendor Relationship Management""",vendor relationship management,109,vendor management
Purchasing Managers," ""Market Trend Analysis""]",market trend analysis,29,market research
"Transportation, Storage, and Distribution Managers","[""Logistics Management""",logistics management,103,logistics management
"Transportation, Storage, and Distribution Managers"," ""Inventory Management""",inventory management,41,inventory management
"Transportation, Storage, and Distribution Managers"," ""Supply Chain Management""",supply chain management,26,supply chain management
"Transportation, Storage, and Distribution Managers"," ""Operations Analysis""",operations analysis,19,equipment maintenance
"Transportation, Storage, and Distribution Managers"," ""Financial Analysis""",financial analysis,0,financial analysis
"Transportation, Storage, and Distribution Managers"," ""Budgeting""",budgeting,2,budgeting
"Transportation, Storage, and Distribution Managers"," ""Cost Control""",cost control,88,cost control
"Transportation, Storage, and Distribution Managers"," ""Risk Management""",risk management,9,risk management
"Transportation, Storage, and Distribution Managers"," ""Quality Control""",quality control,19,equipment maintenance
"Transportation, Storage, and Distribution Managers"," ""Safety Protocols""",safety protocols,19,equipment maintenance
"Transportation, Storage, and Distribution Managers"," ""Training and Development""",training and development,21,training and development
"Transportation, Storage, and Distribution Managers"," ""Customer Service""",customer service,44,customer service
"Transportation, Storage, and Distribution Managers"," ""Negotiation""",negotiation,39,negotiation
"Transportation, Storage, and Distribution Managers"," ""Problem Solving""",problem solving,5,problem solving
"Transportation, Storage, and Distribution Managers"," ""Time Management""]",time management,7,time management
Supply Chain Managers,"[""Supply Chain Management""",supply chain management,26,supply chain management
Supply Chain Managers," ""Inventory Management""",inventory management,41,inventory management
Supply Chain Managers," ""Financial Analysis""",financial analysis,0,financial analysis
Supply Chain Managers," ""Cost Reduction Strategies""",cost reduction strategies,78,cost estimation
Supply Chain Managers," ""Efficiency Improvement""",efficiency improvement,99,energy efficiency analysis
Supply Chain Managers," ""Quality Control""",quality control,19,equipment maintenance
Supply Chain Managers," ""Timely Delivery""",timely delivery,110,timely delivery
Supply Chain Managers," ""Material Movement""",material movement,111,material movement
Supply Chain Managers," ""Storage Optimization""",storage optimization,112,storage management
Supply Chain Managers," ""Distribution Planning""",distribution planning,38,distribution planning
Supply Chain Managers," ""Environmental Sustainability""",environmental sustainability,9,risk management
Supply Chain Managers," ""Business Strategy Alignment""]",business strategy alignment,17,marketing strategies
Compensation and Benefits Managers,"[""Financial Analysis""",financial analysis,0,financial analysis
Compensation and Benefits Managers," ""Benefits Administration""",benefits administration,113,benefits administration
Compensation and Benefits Managers," ""Compensation Planning""",compensation planning,114,compensation planning
Compensation and Benefits Managers," ""Policy Development""",policy development,1,policy development
Compensation and Benefits Managers," ""Regulatory Compliance""",regulatory compliance,19,equipment maintenance
Compensation and Benefits Managers," ""Employee Communication""",employee communication,115,employee communication
Compensation and Benefits Managers," ""Benefits Research""",benefits research,116,benefits research
Compensation and Benefits Managers," ""Labor Relations""",labor relations,117,labor relations
Compensation and Benefits Managers," ""Employee Relations""",employee relations,118,employee relations
Compensation and Benefits Managers," ""Job Classification""",job classification,119,job classification
Compensation and Benefits Managers," ""Employment Policy Development""",employment policy development,120,employment policy development
Compensation and Benefits Managers," ""Legislative Analysis""]",legislative analysis,121,legislative analysis
Human Resources Managers,"[""Human Resources Management""",human resources management,25,personnel management
Human Resources Managers," ""Conflict Resolution""",conflict resolution,122,conflict resolution
Human Resources Managers," ""Employee Relations""",employee relations,118,employee relations
Human Resources Managers," ""Labor Relations""",labor relations,117,labor relations
Human Resources Managers," ""Compensation Analysis""",compensation analysis,123,compensation analysis
Human Resources Managers," ""Benefits Administration""",benefits administration,113,benefits administration
Human Resources Managers," ""Performance Management""",performance management,124,performance management
Human Resources Managers," ""Recruitment Strategies""",recruitment strategies,75,staff recruitment
Human Resources Managers," ""Talent Acquisition""",talent acquisition,125,talent acquisition
Human Resources Managers," ""Employee Development""",employee development,126,career development
Human Resources Managers," ""Training Needs Analysis""",training needs analysis,23,operations monitoring
Human Resources Managers," ""Workforce Planning""",workforce planning,25,personnel management
Human Resources Managers," ""Budgeting""",budgeting,2,budgeting
Human Resources Managers," ""Financial Analysis""]",financial analysis,0,financial analysis
Training and Development Managers,"[""Training Program Development""",training program development,21,training and development
Training and Development Managers," ""Employee Orientation""",employee orientation,127,employee orientation
Training and Development Managers," ""Instructional Techniques""",instructional techniques,128,teaching techniques
Training and Development Managers," ""Training Materials Creation""",training materials creation,129,training materials design
Training and Development Managers," ""Budget Planning""",budget planning,2,budgeting
Training and Development Managers," ""Training Evaluation""",training evaluation,21,training and development
Training and Development Managers," ""Instructor Performance Assessment""",instructor performance assessment,130,instructor performance assessment
Training and Development Managers," ""Training Needs Analysis""",training needs analysis,23,operations monitoring
Training and Development Managers," ""Staff Development""",staff development,126,career development
Training and Development Managers," ""Employee Skills Enhancement""",employee skills enhancement,131,employee skills enhancement
Training and Development Managers," ""Organizational Goal Alignment""",organizational goal alignment,132,organizational goal alignment
Training and Development Managers," ""Performance Data Analysis""]",performance data analysis,23,operations monitoring
"Farmers, Ranchers, and Other Agricultural Managers","[""Financial Analysis""",financial analysis,0,financial analysis
"Farmers, Ranchers, and Other Agricultural Managers"," ""Resource Allocation""",resource allocation,7,time management
"Farmers, Ranchers, and Other Agricultural Managers"," ""Problem Solving""",problem solving,5,problem solving
"Farmers, Ranchers, and Other Agricultural Managers"," ""Market Analysis""",market analysis,29,market research
"Farmers, Ranchers, and Other Agricultural Managers"," ""Negotiation""",negotiation,39,negotiation
"Farmers, Ranchers, and Other Agricultural Managers"," ""Personnel Management""",personnel management,25,personnel management
"Farmers, Ranchers, and Other Agricultural Managers"," ""Equipment Maintenance""",equipment maintenance,19,equipment maintenance
"Farmers, Ranchers, and Other Agricultural Managers"," ""Quality Control""",quality control,19,equipment maintenance
"Farmers, Ranchers, and Other Agricultural Managers"," ""Time Management""",time management,7,time management
"Farmers, Ranchers, and Other Agricultural Managers"," ""Financial Management""",financial management,24,financial management
"Farmers, Ranchers, and Other Agricultural Managers"," ""Material Resource Management""",material resource management,59,material handling
"Farmers, Ranchers, and Other Agricultural Managers"," ""Environmental Monitoring""",environmental monitoring,23,operations monitoring
"Farmers, Ranchers, and Other Agricultural Managers"," ""Crop Management""]",crop management,133,crop management
Construction Managers,"[""Project Management""",project management,15,project management
Construction Managers," ""Budgeting""",budgeting,2,budgeting
Construction Managers," ""Scheduling""",scheduling,134,scheduling
Construction Managers," ""Quality Control""",quality control,19,equipment maintenance
Construction Managers," ""Contract Negotiation""",contract negotiation,39,negotiation
Construction Managers," ""Labor Management""",labor management,89,labor management
Construction Managers," ""Construction Planning""",construction planning,15,project management
Construction Managers," ""Environmental Compliance""",environmental compliance,19,equipment maintenance
Construction Managers," ""Risk Management""",risk management,9,risk management
Construction Managers," ""Time Management""",time management,7,time management
Construction Managers," ""Financial Management""",financial management,24,financial management
Construction Managers," ""Resource Allocation""]",resource allocation,7,time management
"Education and Childcare Administrators, Preschool and Daycare","[""Childcare Program Development""",childcare program development,135,childcare program development
"Education and Childcare Administrators, Preschool and Daycare"," ""Staff Management""",staff management,25,personnel management
"Education and Childcare Administrators, Preschool and Daycare"," ""Financial Planning""",financial planning,24,financial management
"Education and Childcare Administrators, Preschool and Daycare"," ""Resource Allocation""",resource allocation,7,time management
"Education and Childcare Administrators, Preschool and Daycare"," ""Communication Skills""",communication skills,4,communication
"Education and Childcare Administrators, Preschool and Daycare"," ""Problem Solving""",problem solving,5,problem solving
"Education and Childcare Administrators, Preschool and Daycare"," ""Policy Development""",policy development,1,policy development
"Education and Childcare Administrators, Preschool and Daycare"," ""Program Evaluation""",program evaluation,13,program evaluation
"Education and Childcare Administrators, Preschool and Daycare"," ""Curriculum Design""",curriculum design,136,curriculum development
"Education and Childcare Administrators, Preschool and Daycare"," ""Budget Management""",budget management,2,budgeting
"Education and Childcare Administrators, Preschool and Daycare"," ""Staff Training""",staff training,42,staff supervision
"Education and Childcare Administrators, Preschool and Daycare"," ""Record Keeping""]",record keeping,50,record keeping
"Education Administrators, Kindergarten through Secondary","[""Curriculum Development""",curriculum development,136,curriculum development
"Education Administrators, Kindergarten through Secondary"," ""Educational Leadership""",educational leadership,137,educational leadership
"Education Administrators, Kindergarten through Secondary"," ""Budget Planning""",budget planning,2,budgeting
"Education Administrators, Kindergarten through Secondary"," ""Personnel Management""",personnel management,25,personnel management
"Education Administrators, Kindergarten through Secondary"," ""Discipline Enforcement""",discipline enforcement,138,discipline enforcement
"Education Administrators, Kindergarten through Secondary"," ""Attendance Management""",attendance management,139,attendance management
"Education Administrators, Kindergarten through Secondary"," ""Staff Training""",staff training,42,staff supervision
"Education Administrators, Kindergarten through Secondary"," ""Program Evaluation""",program evaluation,13,program evaluation
"Education Administrators, Kindergarten through Secondary"," ""Instructional Design""",instructional design,140,instructional design
"Education Administrators, Kindergarten through Secondary"," ""Student Counseling""",student counseling,141,student counseling
"Education Administrators, Kindergarten through Secondary"," ""Communication""",communication,4,communication
"Education Administrators, Kindergarten through Secondary"," ""Problem Solving""]",problem solving,5,problem solving
"Education Administrators, Postsecondary","[""Strategic Planning""",strategic planning,6,strategic planning
"Education Administrators, Postsecondary"," ""Financial Management""",financial management,24,financial management
"Education Administrators, Postsecondary"," ""Budgeting""",budgeting,2,budgeting
"Education Administrators, Postsecondary"," ""Personnel Management""",personnel management,25,personnel management
"Education Administrators, Postsecondary"," ""Recruitment""",recruitment,75,staff recruitment
"Education Administrators, Postsecondary"," ""Training""",training,21,training and development
"Education Administrators, Postsecondary"," ""Performance Evaluation""",performance evaluation,23,operations monitoring
"Education Administrators, Postsecondary"," ""Student Guidance""",student guidance,142,student guidance
"Education Administrators, Postsecondary"," ""Career Counseling""",career counseling,143,career counseling
"Education Administrators, Postsecondary"," ""Academic Administration""",academic administration,144,higher education
"Education Administrators, Postsecondary"," ""Institutional Development""",institutional development,145,institutional development
"Education Administrators, Postsecondary"," ""Partnership Building""",partnership building,146,partnership building
"Education Administrators, Postsecondary"," ""Committee Participation""",committee participation,147,committee work
"Education Administrators, Postsecondary"," ""Financial Reporting""",financial reporting,80,financial reporting
