source_soc,source_name,target_soc,target_name,similarity,source_ai_exposure,target_ai_exposure,delta_exposure,n_missing,n_shared,missing_skills,shared_skills
11-1011.03,Chief Sustainability Officers,53-1042.01,Recycling Coordinators,0.6221777200698853,0.33,0.14,0.19,10,2,recycling operations|community relations|logistics management|staff supervision|team management|material handling|customer service|inventory management|data analysis|financial management,equipment maintenance|project management
11-1011.03,Chief Sustainability Officers,17-2199.03,"Energy Engineers, Except Wind and Solar",0.6002665758132935,0.33,0.3,0.030000000000000027,10,1,energy procurement|hvac systems|climate control systems|energy management|renewable energy systems|energy auditing|energy bill analysis|energy conservation|energy analysis|sustainable design,project management
11-1011.03,Chief Sustainability Officers,19-4071.00,Forest and Conservation Technicians,0.5902788639068604,0.33,0.21,0.12000000000000002,9,1,data mapping|resource preservation|forest management|data collection|facility maintenance|team management|communication|problem solving|time management,risk management
11-1011.03,Chief Sustainability Officers,17-2161.00,Nuclear Engineers,0.5753759145736694,0.33,0.3,0.030000000000000027,9,3,nuclear fuel cycle management|nuclear energy management|nuclear safety protocols|waste management|mathematical modeling|complex problem solving|report writing|critical thinking|operations monitoring,equipment maintenance|research methods|risk management
11-1011.03,Chief Sustainability Officers,19-1032.00,Foresters,0.5729636549949646,0.33,0.29,0.040000000000000036,10,3,reforestation techniques|timber appraisal|ecological health maintenance|critical decision making|forest management|animal care|water management|negotiation|complex problem solving|time management,equipment maintenance|project management|risk management
11-1011.03,Chief Sustainability Officers,39-9041.00,Residential Advisors,0.567872941493988,0.33,0.21,0.12000000000000002,10,1,group dynamics|household management|facility maintenance|program development|conflict resolution|customer education|counseling techniques|team management|emergency response|communication,equipment maintenance
11-1011.03,Chief Sustainability Officers,45-2011.00,Agricultural Inspectors,0.5518415570259094,0.33,0.3033333333333333,0.026666666666666727,9,1,facility inspection|resource monitoring|food safety|complex problem solving|systems analysis|judgment and decision making|critical thinking|operations monitoring|time management,equipment maintenance
11-1011.03,Chief Sustainability Officers,39-9032.00,Recreation Workers,0.5438095331192017,0.33,0.21,0.12000000000000002,8,2,participation encouragement|customer education|facility maintenance|program development|event planning|team management|inventory management|financial management,equipment maintenance|risk management
11-1011.03,Chief Sustainability Officers,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.5330449938774109,0.33,0.155,0.17500000000000002,7,3,groundskeeping operations|landscaping techniques|installation|financial management|troubleshooting|communication|time management,budgeting|equipment maintenance|project management
11-1011.03,Chief Sustainability Officers,19-5011.00,Occupational Health and Safety Specialists,0.5300207138061523,0.33,0.28,0.04999999999999999,10,3,hazard identification|sample collection|incident reporting|regulatory knowledge|compliance management|program development|emergency response|communication|data analysis|problem solving,equipment maintenance|risk management|training and development
11-1021.00,General and Operations Managers,11-1011.00,Chief Executives,0.8306318521499634,0.4014285714285714,0.33,0.0714285714285714,7,4,change management|strategic planning|decision making|team management|risk management|problem solving|communication,budgeting|financial analysis|policy development|time management
11-1021.00,General and Operations Managers,11-3071.00,"Transportation, Storage, and Distribution Managers",0.8080099821090698,0.4014285714285714,0.38,0.021428571428571408,8,5,cost control|logistics management|negotiation|training and development|customer service|inventory management|risk management|problem solving,budgeting|equipment maintenance|financial analysis|supply chain management|time management
11-1021.00,General and Operations Managers,11-9071.00,Gambling Managers,0.802089512348175,0.4014285714285714,0.32,0.0814285714285714,7,5,strategic thinking|operational integrity|resource monitoring|performance management|conflict resolution|marketing strategies|customer education,equipment maintenance|financial analysis|operations monitoring|personnel management|time management
11-1021.00,General and Operations Managers,11-3051.00,Industrial Production Managers,0.7967935800552368,0.4014285714285714,0.38,0.021428571428571408,4,5,labor management|cost control|production planning|inventory management,budgeting|equipment maintenance|financial analysis|personnel management|time management
11-1021.00,General and Operations Managers,11-9199.09,Wind Energy Operations Managers,0.7672475576400757,0.4014285714285714,0.3666666666666667,0.034761904761904716,5,4,training coordination|staff supervision|project management|risk management|record keeping,budgeting|equipment maintenance|financial analysis|time management
11-1021.00,General and Operations Managers,11-9179.02,Spa Managers,0.7667171955108643,0.4014285714285714,0.251,0.1504285714285714,7,5,accounting|client record management|sales techniques|marketing strategies|staff supervision|customer service|inventory management,budgeting|equipment maintenance|financial analysis|operations monitoring|time management
11-1021.00,General and Operations Managers,41-1011.00,First-Line Supervisors of Retail Sales Workers,0.761688232421875,0.4014285714285714,0.36,0.041428571428571426,6,3,conflict resolution|sales techniques|market research|staff supervision|customer service|inventory management,equipment maintenance|financial management|time management
11-1021.00,General and Operations Managers,11-3051.03,Biofuels Production Managers,0.7585790157318115,0.4014285714285714,0.38,0.021428571428571408,6,3,environmental protocols management|emergency shutdown procedures|biofuels research|process control|energy efficiency analysis|staff supervision,budgeting|equipment maintenance|time management
11-1021.00,General and Operations Managers,33-1012.00,First-Line Supervisors of Police and Detectives,0.7562345266342163,0.4014285714285714,0.23,0.1714285714285714,8,3,police procedures|evidence handling|community engagement|team management|research methods|communication|critical thinking|problem solving,equipment maintenance|personnel management|time management
11-1021.00,General and Operations Managers,27-2012.05,Media Technical Directors/Managers,0.7423815727233887,0.4014285714285714,0.37,0.03142857142857142,7,2,technical training|audio production|studio management|broadcast monitoring|video production|problem solving|communication,equipment maintenance|time management
11-2011.00,Advertising and Promotions Managers,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.6226246356964111,0.39,0.3075,0.08250000000000002,10,1,prospect list development|payment collection|product demonstration|merchandise delivery|order fulfillment|product knowledge|customer communication|event planning|communication|financial management,sales techniques
11-2011.00,Advertising and Promotions Managers,27-2012.03,Media Programming Directors,0.5819154381752014,0.39,0.37,0.020000000000000018,10,0,content evaluation|broadcast content development|media planning|content management|networking|scheduling|customer education|team management|project management|financial analysis,
11-2011.00,Advertising and Promotions Managers,41-9012.00,Models,0.5557041168212891,0.39,0.25,0.14,10,1,hair presentation techniques|fashion show coordination|visual media posing|artistic expression|product knowledge|adaptability|customer education|financial management|communication|time management,sales techniques
11-2011.00,Advertising and Promotions Managers,11-3051.00,Industrial Production Managers,0.5436254739761353,0.39,0.38,0.010000000000000009,8,1,labor management|cost control|production planning|personnel management|financial analysis|inventory management|time management|equipment maintenance,budgeting
11-2011.00,Advertising and Promotions Managers,41-1011.00,First-Line Supervisors of Retail Sales Workers,0.5408493876457214,0.39,0.36,0.030000000000000027,7,2,conflict resolution|staff supervision|customer service|inventory management|financial management|time management|equipment maintenance,market research|sales techniques
11-2011.00,Advertising and Promotions Managers,27-2012.04,Talent Directors,0.5341464281082153,0.39,0.37,0.020000000000000018,10,0,actor development|liaison skills|casting|talent acquisition|auditioning|script analysis|interviewing techniques|negotiation|record keeping|operations monitoring,
11-2011.00,Advertising and Promotions Managers,27-1022.00,Fashion Designers,0.532151460647583,0.39,0.35,0.040000000000000036,9,1,textile knowledge|color theory|fashion trend analysis|garment construction|pattern making|problem solving|communication|time management|equipment maintenance,market research
11-2011.00,Advertising and Promotions Managers,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.5285482406616211,0.39,0.2799999999999999,0.1100000000000001,10,0,digital art techniques|fine art marketing|fine art portfolio management|color theory|perspective drawing|fine art trends analysis|visual composition|illustration techniques|printing techniques|painting techniques,
11-2011.00,Advertising and Promotions Managers,41-2022.00,Parts Salespersons,0.5176854133605957,0.39,0.38,0.010000000000000009,10,1,customer relations|order fulfillment|product knowledge|mathematical reasoning|supply chain management|customer service|inventory management|communication|problem solving|time management,sales techniques
11-2011.00,Advertising and Promotions Managers,11-1011.00,Chief Executives,0.5164502859115601,0.39,0.33,0.06,10,1,change management|strategic planning|decision making|policy development|team management|financial analysis|risk management|problem solving|communication|time management,budgeting
11-2021.00,Marketing Managers,11-2011.00,Advertising and Promotions Managers,0.7921749353408813,0.41,0.39,0.019999999999999962,8,2,media selection|media coordination|campaign team management|advertising campaign planning|stakeholder communication|budgeting|sales techniques|program evaluation,market research|marketing strategies
11-2021.00,Marketing Managers,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.6800422668457031,0.41,0.3075,0.10249999999999998,10,0,prospect list development|payment collection|product demonstration|merchandise delivery|order fulfillment|product knowledge|customer communication|sales techniques|event planning|communication,
11-2021.00,Marketing Managers,41-2031.00,Retail Salespersons,0.6649811267852783,0.41,0.38,0.02999999999999997,10,0,return and exchange management|product presentation|cash handling|product knowledge|payment processing|sales techniques|customer service|inventory management|financial management|problem solving,
11-2021.00,Marketing Managers,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",0.6270067095756531,0.41,0.39,0.019999999999999962,8,4,merchandise evaluation|product introduction|client assessment|contract management|supply chain management|financial analysis|inventory management|equipment maintenance,market research|negotiation|pricing strategies|sales forecasting
11-2021.00,Marketing Managers,11-3051.00,Industrial Production Managers,0.6047192215919495,0.41,0.38,0.02999999999999997,9,0,labor management|cost control|production planning|personnel management|budgeting|financial analysis|inventory management|time management|equipment maintenance,
11-2021.00,Marketing Managers,41-2022.00,Parts Salespersons,0.5841349959373474,0.41,0.38,0.02999999999999997,10,0,customer relations|order fulfillment|product knowledge|mathematical reasoning|sales techniques|supply chain management|customer service|inventory management|communication|problem solving,
11-2021.00,Marketing Managers,11-9179.02,Spa Managers,0.580171525478363,0.41,0.251,0.15899999999999997,10,1,accounting|client record management|budgeting|sales techniques|staff supervision|customer service|financial analysis|inventory management|operations monitoring|time management,marketing strategies
11-2021.00,Marketing Managers,11-1021.00,General and Operations Managers,0.5797286033630371,0.41,0.4014285714285714,0.008571428571428563,10,0,goal setting|policy development|personnel management|budgeting|supply chain management|financial analysis|financial management|operations monitoring|time management|equipment maintenance,
11-2021.00,Marketing Managers,11-9071.00,Gambling Managers,0.573959231376648,0.41,0.32,0.08999999999999997,10,2,strategic thinking|operational integrity|resource monitoring|performance management|conflict resolution|personnel management|financial analysis|operations monitoring|time management|equipment maintenance,customer education|marketing strategies
11-2021.00,Marketing Managers,41-9021.00,Real Estate Brokers,0.5694946050643921,0.41,0.35,0.06,8,4,market knowledge|property evaluation|contract management|financial analysis|communication|problem solving|time management|equipment maintenance,customer education|market research|negotiation|team management
11-2022.00,Sales Managers,41-1011.00,First-Line Supervisors of Retail Sales Workers,0.8360710144042969,0.41,0.36,0.04999999999999999,4,5,conflict resolution|sales techniques|financial management|time management,customer service|equipment maintenance|inventory management|market research|staff supervision
11-2022.00,Sales Managers,41-2022.00,Parts Salespersons,0.791192889213562,0.41,0.38,0.02999999999999997,9,2,customer relations|order fulfillment|product knowledge|mathematical reasoning|sales techniques|supply chain management|communication|problem solving|time management,customer service|inventory management
11-2022.00,Sales Managers,11-1021.00,General and Operations Managers,0.7862263321876526,0.41,0.4014285714285714,0.008571428571428563,6,4,goal setting|policy development|personnel management|supply chain management|financial management|time management,budgeting|equipment maintenance|financial analysis|operations monitoring
11-2022.00,Sales Managers,11-9179.02,Spa Managers,0.7445518970489502,0.41,0.251,0.15899999999999997,5,7,accounting|client record management|sales techniques|marketing strategies|time management,budgeting|customer service|equipment maintenance|financial analysis|inventory management|operations monitoring|staff supervision
11-2022.00,Sales Managers,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.7437936067581177,0.41,0.3075,0.10249999999999998,10,0,prospect list development|payment collection|product demonstration|merchandise delivery|order fulfillment|product knowledge|customer communication|sales techniques|event planning|communication,
11-2022.00,Sales Managers,11-9071.00,Gambling Managers,0.7418554425239563,0.41,0.32,0.08999999999999997,8,4,strategic thinking|operational integrity|resource monitoring|performance management|conflict resolution|marketing strategies|personnel management|time management,customer education|equipment maintenance|financial analysis|operations monitoring
11-2022.00,Sales Managers,53-3031.00,Driver/Sales Workers,0.7296186089515686,0.41,0.28,0.12999999999999995,10,2,customer complaint resolution|customer engagement|package delivery|vehicle operation|payment processing|sales techniques|logistics management|financial management|record keeping|time management,customer service|equipment maintenance
11-2022.00,Sales Managers,11-1011.00,Chief Executives,0.728177547454834,0.41,0.33,0.07999999999999996,8,3,change management|strategic planning|decision making|policy development|risk management|problem solving|communication|time management,budgeting|financial analysis|team management
11-2022.00,Sales Managers,11-3121.00,Human Resources Managers,0.6951326131820679,0.41,0.36,0.04999999999999999,10,3,compensation analysis|labor relations|talent acquisition|performance management|employee relations|benefits administration|staff recruitment|career development|conflict resolution|personnel management,budgeting|financial analysis|operations monitoring
11-2022.00,Sales Managers,53-7065.00,Stockers and Order Fillers,0.6928315162658691,0.41,0.285,0.125,8,3,storage and retrieval|stockroom organization|merchandise delivery|order fulfillment|mathematical reasoning|supply chain management|communication|problem solving,customer service|equipment maintenance|inventory management
11-2033.00,Fundraising Managers,11-2011.00,Advertising and Promotions Managers,0.5978471040725708,0.3933333333333333,0.39,0.0033333333333332993,8,2,media selection|media coordination|campaign team management|advertising campaign planning|stakeholder communication|sales techniques|program evaluation|market research,budgeting|marketing strategies
11-2033.00,Fundraising Managers,21-2021.00,"Directors, Religious Activities and Education",0.5862686634063721,0.3933333333333333,0.17,0.2233333333333333,6,7,volunteer management|event scheduling|program development|program evaluation|counseling techniques|curriculum development,budgeting|communication|community outreach|financial analysis|fundraising strategies|team management|time management
11-2033.00,Fundraising Managers,11-9151.00,Social and Community Service Managers,0.5787732601165771,0.3933333333333333,0.37,0.023333333333333317,7,5,volunteer coordination|financial oversight|service delivery|stakeholder communication|program evaluation|personnel management|operations monitoring,budgeting|communication|community outreach|policy development|time management
11-2033.00,Fundraising Managers,11-9199.10,Wind Energy Development Managers,0.5441986322402954,0.3933333333333333,0.3666666666666667,0.026666666666666616,7,3,stakeholder communication|negotiation|report writing|technical documentation|project management|risk management|equipment maintenance,budgeting|financial analysis|time management
11-2033.00,Fundraising Managers,21-1091.00,Health Education Specialists,0.5245565176010132,0.3933333333333333,0.28,0.11333333333333329,8,3,health education materials development|cooperative working relationships|healthcare policy|health education|program evaluation|training and development|record keeping|operations monitoring,budgeting|community outreach|grant writing
11-2033.00,Fundraising Managers,21-1093.00,Social and Human Service Assistants,0.5201185345649719,0.3933333333333333,0.33,0.0633333333333333,10,0,benefit identification|resource referral|community resource navigation|emotional needs assessment|behavioral strategy development|behavioral management|social service coordination|client advocacy|cognitive function assessment|social support,
11-2033.00,Fundraising Managers,11-9161.00,Emergency Management Directors,0.507204532623291,0.3933333333333333,0.38,0.013333333333333308,9,4,crisis management|disaster recovery|public education|training and development|emergency response|project management|risk management|operations monitoring|equipment maintenance,communication|financial management|grant writing|time management
11-2033.00,Fundraising Managers,11-9179.02,Spa Managers,0.5028330087661743,0.3933333333333333,0.251,0.1423333333333333,8,4,accounting|client record management|sales techniques|staff supervision|customer service|inventory management|operations monitoring|equipment maintenance,budgeting|financial analysis|marketing strategies|time management
11-2033.00,Fundraising Managers,11-1011.03,Chief Sustainability Officers,0.49910038709640503,0.3933333333333333,0.33,0.0633333333333333,10,3,sustainability strategy execution|environmental reporting|environmental policy development|stakeholder communication|program evaluation|training and development|project management|research methods|risk management|equipment maintenance,budgeting|grant writing|marketing strategies
11-2033.00,Fundraising Managers,39-9032.00,Recreation Workers,0.4915538430213928,0.3933333333333333,0.21,0.18333333333333332,7,3,participation encouragement|customer education|facility maintenance|program development|inventory management|risk management|equipment maintenance,event planning|financial management|team management
11-3012.00,Administrative Services Managers,33-1012.00,First-Line Supervisors of Police and Detectives,0.8529269695281982,0.42,0.23,0.18999999999999997,8,3,police procedures|evidence handling|community engagement|team management|research methods|communication|critical thinking|problem solving,equipment maintenance|personnel management|time management
11-3012.00,Administrative Services Managers,11-9199.09,Wind Energy Operations Managers,0.8519035577774048,0.42,0.3666666666666667,0.05333333333333329,6,3,training coordination|staff supervision|budgeting|project management|financial analysis|risk management,equipment maintenance|record keeping|time management
11-3012.00,Administrative Services Managers,11-9071.00,Gambling Managers,0.8512149453163147,0.42,0.32,0.09999999999999998,8,4,strategic thinking|operational integrity|resource monitoring|performance management|conflict resolution|marketing strategies|customer education|financial analysis,equipment maintenance|operations monitoring|personnel management|time management
11-3012.00,Administrative Services Managers,11-9179.02,Spa Managers,0.8182114958763123,0.42,0.251,0.16899999999999998,9,3,accounting|client record management|budgeting|sales techniques|marketing strategies|staff supervision|customer service|financial analysis|inventory management,equipment maintenance|operations monitoring|time management
11-3012.00,Administrative Services Managers,11-1021.00,General and Operations Managers,0.7937142252922058,0.42,0.4014285714285714,0.018571428571428572,3,7,budgeting|financial analysis|financial management,equipment maintenance|goal setting|operations monitoring|personnel management|policy development|supply chain management|time management
11-3012.00,Administrative Services Managers,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,0.7844662666320801,0.42,0.21,0.21,5,5,facility inspection|staff supervision|budgeting|inventory management|problem solving,equipment maintenance|operations monitoring|record keeping|supply chain management|time management
11-3012.00,Administrative Services Managers,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",0.7751986980438232,0.42,0.3666666666666667,0.05333333333333329,9,2,event planning|budgeting|team management|emergency response|customer service|risk management|financial management|problem solving|communication,personnel management|time management
11-3012.00,Administrative Services Managers,11-3121.00,Human Resources Managers,0.7644796371459961,0.42,0.36,0.06,10,2,compensation analysis|labor relations|talent acquisition|performance management|employee relations|benefits administration|staff recruitment|career development|budgeting|conflict resolution,operations monitoring|personnel management
11-3012.00,Administrative Services Managers,11-3051.00,Industrial Production Managers,0.759737491607666,0.42,0.38,0.03999999999999998,6,3,labor management|cost control|production planning|budgeting|financial analysis|inventory management,equipment maintenance|personnel management|time management
11-3012.00,Administrative Services Managers,11-1011.00,Chief Executives,0.7579801082611084,0.42,0.33,0.08999999999999997,9,2,change management|strategic planning|decision making|budgeting|team management|financial analysis|risk management|problem solving|communication,policy development|time management
11-3013.00,Facilities Managers,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.8018960952758789,0.42,0.1854545454545454,0.23454545454545458,6,2,employee counseling|conflict resolution|scheduling|team management|customer service|troubleshooting,equipment maintenance|time management
11-3013.00,Facilities Managers,11-9199.09,Wind Energy Operations Managers,0.7988137006759644,0.42,0.3666666666666667,0.05333333333333329,5,4,training coordination|staff supervision|financial analysis|risk management|record keeping,budgeting|equipment maintenance|project management|time management
11-3013.00,Facilities Managers,11-3051.02,Geothermal Production Managers,0.7941182851791382,0.42,0.38,0.03999999999999998,5,4,corrosion control|geothermal plant operations|complex problem solving|record keeping|operations monitoring,budgeting|critical thinking|equipment maintenance|time management
11-3013.00,Facilities Managers,11-3051.03,Biofuels Production Managers,0.7693849802017212,0.42,0.38,0.03999999999999998,6,3,environmental protocols management|emergency shutdown procedures|biofuels research|process control|energy efficiency analysis|staff supervision,budgeting|equipment maintenance|time management
11-3013.00,Facilities Managers,11-9071.00,Gambling Managers,0.7629294395446777,0.42,0.32,0.09999999999999998,9,3,strategic thinking|operational integrity|resource monitoring|performance management|conflict resolution|marketing strategies|customer education|financial analysis|operations monitoring,equipment maintenance|personnel management|time management
11-3013.00,Facilities Managers,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,0.7598971128463745,0.42,0.285,0.135,6,6,material estimation|collaboration skills|blueprint reading|training and development|team management|record keeping,equipment maintenance|financial management|personnel management|problem solving|project management|time management
11-3013.00,Facilities Managers,49-9071.00,"Maintenance and Repair Workers, General",0.7514864206314087,0.42,0.11,0.31,6,4,mathematics|active learning|complex problem solving|installation|judgment and decision making|troubleshooting,critical thinking|equipment maintenance|systems analysis|time management
11-3013.00,Facilities Managers,51-8092.00,Gas Plant Operators,0.7471257448196411,0.42,0.29,0.13,7,1,gas processing|flow control|process control|pressure control|temperature control|troubleshooting|operations monitoring,equipment maintenance
11-3013.00,Facilities Managers,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.7416461706161499,0.42,0.155,0.265,5,5,groundskeeping operations|landscaping techniques|installation|troubleshooting|communication,budgeting|equipment maintenance|financial management|project management|time management
11-3013.00,Facilities Managers,51-8091.00,Chemical Plant and System Operators,0.7363865375518799,0.42,0.29,0.13,5,3,chemical analysis|process control|data recording|emergency response|communication,equipment maintenance|problem solving|time management
11-3013.01,Security Managers,33-1091.00,First-Line Supervisors of Security Workers,0.8140588402748108,0.3666666666666667,0.2,0.16666666666666669,8,4,disturbance investigation|patrol procedures|access control|staff recruitment|security protocols|staff supervision|training and development|technical documentation,emergency response|equipment maintenance|risk management|security policy development
11-3013.01,Security Managers,33-3052.00,Transit and Railroad Police,0.7531030774116516,0.3666666666666667,0.14,0.22666666666666668,8,3,crime prevention|property protection|police procedures|incident response|law enforcement|security protocols|customer education|research methods,emergency response|equipment maintenance|report writing
11-3013.01,Security Managers,33-9032.00,Security Guards,0.7492643594741821,0.3666666666666667,0.2,0.16666666666666669,9,3,order preservation|property protection|patrol procedures|threat analysis|surveillance techniques|access control|incident reporting|security protocols|first aid techniques,emergency response|equipment maintenance|network security
11-3013.01,Security Managers,33-9099.02,Retail Loss Prevention Specialists,0.721137523651123,0.3666666666666667,0.2,0.16666666666666669,10,2,service orientation|persuasion|social perceptiveness|instructing|active learning|learning strategies|negotiation|complex problem solving|judgment and decision making|critical thinking,communication|equipment maintenance
11-3013.01,Security Managers,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.6790661215782166,0.3666666666666667,0.1854545454545454,0.1812121212121213,6,2,employee counseling|conflict resolution|scheduling|customer service|troubleshooting|time management,equipment maintenance|team management
11-3013.01,Security Managers,33-9031.00,Gambling Surveillance Officers and Gambling Investigators,0.6770488023757935,0.3666666666666667,0.295,0.07166666666666671,10,2,video review|oversight and security|asset protection|observation techniques|surveillance techniques|log maintenance|compliance management|attention to detail|training and development|critical thinking,communication|equipment maintenance
11-3013.01,Security Managers,33-9093.00,Transportation Security Screeners,0.6770437955856323,0.3666666666666667,0.2,0.16666666666666669,10,2,metal detector operation|x-ray machine operation|pat-down searches|passenger monitoring|explosive detection|chemical swab systems|baggage inspection|hand wanding|passenger management|security screening,communication|emergency response
11-3013.01,Security Managers,19-4051.00,Nuclear Technicians,0.6737459897994995,0.3666666666666667,0.26,0.10666666666666669,8,2,radiation safety|operation and control|critical thinking|laboratory techniques|data analysis|troubleshooting|problem solving|operations monitoring,equipment maintenance|risk management
11-3013.01,Security Managers,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,0.6672704219818115,0.3666666666666667,0.24,0.1266666666666667,8,4,crew management|fire extinguishing techniques|personnel management|training and development|research methods|financial management|operations monitoring|time management,communication|emergency response|equipment maintenance|risk management
11-3013.01,Security Managers,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.6587339639663696,0.3666666666666667,0.2,0.16666666666666669,9,3,weather monitoring|recreational activity planning|incident reporting|first aid techniques|facility maintenance|customer education|critical thinking|record keeping|problem solving,communication|emergency response|equipment maintenance
11-3021.00,Computer and Information Systems Managers,33-1012.00,First-Line Supervisors of Police and Detectives,0.8389198780059814,0.44,0.23,0.21,10,1,police procedures|evidence handling|community engagement|personnel management|team management|research methods|communication|critical thinking|problem solving|equipment maintenance,time management
11-3021.00,Computer and Information Systems Managers,11-9071.00,Gambling Managers,0.8228232264518738,0.44,0.32,0.12,10,2,strategic thinking|operational integrity|resource monitoring|performance management|conflict resolution|marketing strategies|customer education|personnel management|financial analysis|equipment maintenance,operations monitoring|time management
11-3021.00,Computer and Information Systems Managers,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",0.8213179707527161,0.44,0.3666666666666667,0.0733333333333333,8,3,event planning|personnel management|team management|emergency response|customer service|risk management|problem solving|communication,budgeting|financial management|time management
11-3021.00,Computer and Information Systems Managers,11-9199.09,Wind Energy Operations Managers,0.8063024282455444,0.44,0.3666666666666667,0.0733333333333333,5,4,training coordination|financial analysis|risk management|record keeping|equipment maintenance,budgeting|project management|staff supervision|time management
11-3021.00,Computer and Information Systems Managers,11-3012.00,Administrative Services Managers,0.8022615313529968,0.44,0.42,0.020000000000000018,10,2,deadline management|report analysis|information management|procedure establishment|goal setting|policy development|personnel management|training and development|supply chain management|record keeping,operations monitoring|time management
11-3021.00,Computer and Information Systems Managers,11-9199.10,Wind Energy Development Managers,0.8019528388977051,0.44,0.3666666666666667,0.0733333333333333,7,3,stakeholder communication|negotiation|report writing|technical documentation|financial analysis|risk management|equipment maintenance,budgeting|project management|time management
11-3021.00,Computer and Information Systems Managers,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.797932505607605,0.44,0.14,0.3,7,2,scheduling|conflict resolution|training and development|team management|communication|problem solving|equipment maintenance,operations monitoring|time management
11-3021.00,Computer and Information Systems Managers,11-9179.02,Spa Managers,0.7966262102127075,0.44,0.251,0.189,8,4,accounting|client record management|sales techniques|marketing strategies|customer service|financial analysis|inventory management|equipment maintenance,budgeting|operations monitoring|staff supervision|time management
11-3021.00,Computer and Information Systems Managers,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,0.7901400327682495,0.44,0.43,0.010000000000000009,7,3,staff recruitment|conflict resolution|policy development|training and development|customer service|communication|problem solving,financial management|operations monitoring|time management
